Iteration,Experiment Index,Observed Instability Index,LCB Score,Mean Prediction,Standard Deviation,Min Instability Index in Dataset,Stopping Reason
0,107,701140,,,,23707,Initial selection
1,26,1267615,4996.614940850121,5629.081710639013,316.2333848944462,23707,Continuing
2,7,144556,212355.44226489897,212866.58995222425,255.57384366264063,23707,Continuing
3,8,351227,144556.56041410414,144565.50435305532,4.471969475585485,23707,Continuing
4,0,480185,253988.21488572896,254436.41701850295,224.10106638699847,23707,Continuing
5,65,349707,259500.77199774998,259531.6697270827,15.448864666369373,23707,Continuing
6,91,225170,-632.4871489650934,5.0546542217414816e-06,316.24357700987383,23707,Continuing
7,21,1167261,-632.4863457166937,0.0008083030540008008,316.24357700987383,23707,Continuing
8,63,300244,88144.25410948091,88429.48485817015,142.6153743446198,23707,Continuing
9,64,269180,218028.0679778598,218046.9255930208,9.428807580488918,23707,Continuing
10,17,1103450,57093.92387177278,57723.727983805555,314.90205601638684,23707,Continuing
11,92,261756,69949.37881588584,70101.94378229743,76.28248320579775,23707,Continuing
12,25,876981,-632.4570946838822,0.03005933586538722,316.24357700987383,23707,Continuing
13,95,163985,-26431.084206779517,-25965.471262420746,232.80647217938582,23707,Continuing
14,62,40621,130997.24837988982,131088.04917704948,45.40039857983292,23707,Continuing
15,15,102012,-632.4870817157204,7.230402731538653e-05,316.24357700987383,23707,Continuing
16,9,914156,-632.4869213875514,0.00023263219627468997,316.24357700987383,23707,Continuing
17,88,132641,44042.21996752185,44057.72544393113,7.752738204640615,23707,Continuing
18,23,1281399,-632.4871540197475,1.42137182235407e-13,316.24357700987383,23707,Continuing
19,13,714735,-632.4865483068326,0.0006057129150729089,316.24357700987383,23707,Continuing
20,19,446747,-632.480924032162,0.006229987585741514,316.24357700987383,23707,Continuing
21,43,228347,-632.4168362996129,0.07031772011774434,316.2435770098653,23707,Continuing
22,103,145224,-632.0822951947453,0.4048588248464075,316.24357700979584,23707,Continuing
23,47,416405,-617.2924476093157,15.194705826592326,316.243576717954,23707,Continuing
24,79,548909,-607.8296493856103,24.657494300902272,316.2435718432563,23707,Continuing
25,84,24723,-602.3196360898169,30.167507855932474,316.2435719728747,23707,Continuing
26,11,284710,-602.185896467329,30.30125707992992,316.24357677362946,23707,Continuing
27,45,481313,-307.615835804458,324.87098465598797,316.243410230223,23707,Continuing
28,112,23707,24717.653851079198,24726.597894989187,4.472021954994799,23707,Min instability reached
