Iteration,Experiment Index,Observed Instability Index,LCB Score,Mean Prediction,Standard Deviation,Min Instability Index in Dataset,Stopping Reason
0,28,57484,,,,23707,Initial selection
1,26,1267615,-94.334692972181,0.5383801266201559,316.24357699600387,23707,Continuing
2,7,144556,25975.299550258616,26069.575741694985,314.25397145456543,23707,Continuing
3,0,480185,27428.80140400589,27461.191397140556,107.96664378221001,23707,Continuing
4,110,794499,-94.87307258764707,5.153150840209266e-07,316.24357700987383,23707,Continuing
5,91,225170,-92.21811509354012,2.65495800890266,316.2435770081426,23707,Continuing
6,81,489801,-46.153302192742345,48.71976833767141,316.24356843471253,23707,Continuing
7,36,190636,65.34356760498447,158.6125893003398,310.8967389845178,23707,Continuing
8,17,1103450,140.96826220944524,235.84133113249976,316.2435630768484,23707,Continuing
9,58,221696,39006.26742013716,39011.08377779459,16.054525524777578,23707,Continuing
10,9,914156,-94.87307310296215,2.681600402100712e-37,316.24357700987383,23707,Continuing
11,11,284710,-94.87307310296215,5.827259370228742e-16,316.24357700987383,23707,Continuing
12,13,714735,-94.87307310296215,1.4297823722322408e-17,316.24357700987383,23707,Continuing
13,21,1167261,-94.87307310296215,9.415172464135888e-33,316.24357700987383,23707,Continuing
14,23,1281399,-94.87307310296215,2.6612699394884053e-39,316.24357700987383,23707,Continuing
15,25,876981,-94.87307310296215,2.5220887065772236e-35,316.24357700987383,23707,Continuing
16,69,252077,-140340.45271883885,-140276.3561173851,213.6553381791405,23707,Continuing
17,43,228347,-94.87307310296215,1.2340274732170421e-16,316.24357700987383,23707,Continuing
18,57,237318,-81089.81175776875,-81070.80763646043,63.34707102772004,23707,Continuing
19,105,141683,-94.87307303086477,7.209738336012473e-08,316.24357700987383,23707,Continuing
20,77,476197,-94.87307296010098,1.4286117051033204e-07,316.24357700987383,23707,Continuing
21,93,211852,-94.86996378134373,0.0031093216184271246,316.24357700987383,23707,Continuing
22,47,416405,-94.86787936494368,0.005193738018454594,316.2435770098738,23707,Continuing
23,54,376516,-94.8508409616762,0.02223214128588394,316.2435770098736,23707,Continuing
24,19,446747,-94.84495746072989,0.02811564223220577,316.24357700987366,23707,Continuing
25,71,87667,35163.11023828179,35190.64085352957,91.7687174925977,23707,Continuing
26,29,286689,57752.56172571922,57753.90247310442,4.4691579506733285,23707,Continuing
27,101,239057,-16491.42501896591,-16476.990721821785,48.11432381375571,23707,Continuing
28,38,224858,79525.78521658598,79614.50222995302,295.7233778901481,23707,Continuing
29,39,98773,84130.91136902451,84137.38102891622,21.56553297236735,23707,Continuing
30,44,299002,95589.25237745696,95668.291013816,263.4621211967823,23707,Continuing
31,42,482218,103574.86793801944,103665.22274652173,301.182695007622,23707,Continuing
32,116,26197,102509.7065493416,102525.70681057498,53.334204111264754,23707,Continuing
33,74,140574,-25913.40754776201,-25878.200225393688,117.3577412277358,23707,Continuing
34,79,548909,-93.77962107704126,1.0934520257462088,316.2435770092915,23707,Continuing
35,3,239852,-51.50336005465114,43.36971218871565,316.24357414455596,23707,Continuing
36,128,258154,40.1150457389286,134.9881178767958,316.2435737928907,23707,Continuing
37,117,38370,26471.530645374376,26472.87114812612,4.468342505809015,23707,Continuing
38,118,107494,32433.839802514958,32435.00129171461,3.871630665502527,23707,Continuing
39,2,144074,-94.87307310296215,2.5195627267938005e-299,316.24357700987383,23707,Continuing
40,119,119938,57459.88707299838,57460.982188522816,3.6503850814309624,23707,Continuing
41,98,147202,80846.5973490705,80850.66619550867,13.562821460596881,23707,Continuing
42,106,437082,633.6570159009613,728.5300502309541,316.24344776664265,23707,Continuing
43,92,261756,1888.623688255982,1983.4929051220624,316.23072288693504,23707,Continuing
44,109,452558,14210.689778681393,14305.551017650578,316.2041298972816,23707,Continuing
45,102,129483,73199.51470724745,73248.15930978954,162.1486751403019,23707,Continuing
46,15,102012,-94.87307310296215,2.205453702024817e-101,316.24357700987383,23707,Continuing
47,76,272660,65700.15240338484,65792.77800696144,308.752011922004,23707,Continuing
48,30,209698,-94.87307310296215,9.504874168460018e-144,316.24357700987383,23707,Continuing
49,65,349707,94077.60696433047,94161.63433065853,280.0912210935457,23707,Continuing
50,16,128971,102035.04854732676,102036.39014331809,4.471986637735473,23707,Continuing
51,61,449878,116055.95539212631,116076.5274641592,68.5735734429365,23707,Continuing
52,60,38893,-566.8723133196256,-472.01987388511856,316.17479811502346,23707,Continuing
53,80,438903,-94.87307229332616,8.096359903296431e-07,316.24357700987383,23707,Continuing
54,120,91655,-94.87307130587864,1.7970835129672445e-06,316.24357700987383,23707,Continuing
55,50,199330,-94.8730288321512,4.4270810945327906e-05,316.24357700987383,23707,Continuing
56,41,370439,-94.86630452507444,0.006768577887463022,316.243577009873,23707,Continuing
57,34,287734,-94.8446994483329,0.028373654628489266,316.24357700987133,23707,Continuing
58,48,404845,-94.83091417163767,0.042158931324108154,316.24357700987264,23707,Continuing
59,5,253423,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
60,32,207474,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
61,49,234879,-81.47888100555446,13.394191934204407,316.24357646586293,23707,Continuing
62,103,145224,-75.3579849757716,19.515087264623237,316.24357413464946,23707,Continuing
63,72,339668,-73.79738755242681,21.07568427713603,316.2435727652095,23707,Continuing
64,78,127394,4.276533573808905,99.14958740104903,316.2435127574671,23707,Continuing
65,108,719564,503.35757860553684,598.2305631331551,316.2432817587275,23707,Continuing
66,100,175885,26721.912649555314,26804.505296598225,275.30882347636606,23707,Continuing
67,90,318600,85131.17915378592,85220.2375216158,296.8612260995951,23707,Continuing
68,97,206695,89277.29121563418,89365.94753798965,295.52107451821183,23707,Continuing
69,121,107908,91662.75118594198,91664.09278264696,4.471989016604249,23707,Continuing
70,122,168856,99784.4158281539,99785.57771040499,3.872940836954874,23707,Continuing
71,62,40621,103917.17839169271,103977.20521115523,200.08939820841485,23707,Continuing
72,96,383479,58967.20868284592,59008.87235036411,138.87889172728543,23707,Continuing
73,111,375241,-51.77668795518866,43.096384719468844,316.2435755821917,23707,Continuing
74,33,132665,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
75,40,343647,-94.87307310296215,1.540707901889346e-20,316.24357700987383,23707,Continuing
76,51,293210,-94.87307310296215,7.267956470314744e-44,316.24357700987383,23707,Continuing
77,84,24723,106681.78548392809,106753.17011587904,237.94877316980657,23707,Continuing
78,63,300244,-94.87307310296215,1.5859416917840833e-15,316.24357700987383,23707,Continuing
79,112,23707,24735.839605315992,24737.181187668728,4.47194117578941,23707,Min instability reached
