Iteration,Experiment Index,Observed Instability Index,LCB Score,Mean Prediction,Standard Deviation,Min Instability Index in Dataset,Stopping Reason
0,107,701140,,,,23707,Initial selection
1,26,1267615,4364.148171061228,5629.081710639013,316.2333848944462,23707,Continuing
2,7,144556,211844.2945775737,212866.58995222425,255.57384366264063,23707,Continuing
3,8,351227,144547.616475153,144565.50435305532,4.471969475585485,23707,Continuing
4,0,480185,253540.01275295496,254436.41701850295,224.10106638699847,23707,Continuing
5,65,349707,259469.87426841725,259531.6697270827,15.448864666369373,23707,Continuing
6,91,225170,-1264.9743029848412,5.0546542217414816e-06,316.24357700987383,23707,Continuing
7,21,1167261,-1264.9734997364412,0.0008083030540008008,316.24357700987383,23707,Continuing
8,63,300244,87859.02336079167,88429.48485817015,142.6153743446198,23707,Continuing
9,64,269180,218009.21036269885,218046.9255930208,9.428807580488918,23707,Continuing
10,17,1103450,56464.11975974001,57723.727983805555,314.90205601638684,23707,Continuing
11,92,261756,69796.81384947423,70101.94378229743,76.28248320579775,23707,Continuing
12,25,876981,-1264.94424870363,0.03005933586538722,316.24357700987383,23707,Continuing
13,95,163985,-26896.69715113829,-25965.471262420746,232.80647217938582,23707,Continuing
14,62,40621,130906.44758273015,131088.04917704948,45.40039857983292,23707,Continuing
15,15,102012,-1264.974235735468,7.230402731538653e-05,316.24357700987383,23707,Continuing
16,9,914156,-1264.974075407299,0.00023263219627468997,316.24357700987383,23707,Continuing
17,88,132641,44026.714491112565,44057.72544393113,7.752738204640615,23707,Continuing
18,23,1281399,-1264.974308039495,1.42137182235407e-13,316.24357700987383,23707,Continuing
19,13,714735,-1264.9737023265802,0.0006057129150729089,316.24357700987383,23707,Continuing
20,19,446747,-1264.9680780519095,0.006229987585741514,316.24357700987383,23707,Continuing
21,43,228347,-1264.9039903193434,0.07031772011774434,316.2435770098653,23707,Continuing
22,103,145224,-1264.569449214337,0.4048588248464075,316.24357700979584,23707,Continuing
23,47,416405,-1249.7796010452237,15.194705826592326,316.243576717954,23707,Continuing
24,79,548909,-1240.316793072123,24.657494300902272,316.2435718432563,23707,Continuing
25,84,24723,-1234.8067800355664,30.167507855932474,316.2435719728747,23707,Continuing
26,11,284710,-1234.673050014588,30.30125707992992,316.24357677362946,23707,Continuing
27,45,481313,-940.102656264904,324.87098465598797,316.243410230223,23707,Continuing
28,112,23707,24708.70980716921,24726.597894989187,4.472021954994799,23707,Min instability reached
