Iteration,Experiment Index,Observed Instability Index,LCB Score,Mean Prediction,Standard Deviation,Min Instability Index in Dataset,Stopping Reason
0,117,38370,,,,23707,Initial selection
1,26,1267615,-94.09552740217585,0.7775456813066655,316.2435769449417,23707,Continuing
2,7,144556,-94.5641848204369,0.30888827945904507,316.24357699965316,23707,Continuing
3,0,480185,1561.9929921963196,1602.5045666324938,135.03858145391413,23707,Continuing
4,110,794499,-94.87306073749096,1.2365468100764426e-05,316.24357700986354,23707,Continuing
5,2,144074,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
6,34,287734,-94.87307310267732,2.8482761495115577e-10,316.24357700987383,23707,Continuing
7,81,489801,-94.87307104907136,2.0538907994960544e-06,316.24357700987383,23707,Continuing
8,3,239852,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
9,103,145224,-11757.77690352167,-11684.540885467195,244.12006018158084,23707,Continuing
10,17,1103450,-69.9661980867375,24.906874969612932,316.24357685450144,23707,Continuing
11,25,876981,-31.66728711268445,63.20578587258646,316.2435766175697,23707,Continuing
12,28,57484,21492.161329239745,21502.548263391946,34.62311384067295,23707,Continuing
13,116,26197,39121.880764447895,39123.216008857155,4.450814697536863,23707,Continuing
14,118,107494,32657.899858804703,32659.060186855495,3.8677601693018193,23707,Continuing
15,67,227835,53399.14122511438,53400.44581955671,4.348648141126507,23707,Continuing
16,84,24723,-437.51002738921943,-342.6814811435761,316.09515415214446,23707,Continuing
17,5,253423,-94.87307310296215,4.4868774120773085e-263,316.24357700987383,23707,Continuing
18,9,914156,-94.87307310296215,1.0014216375276966e-32,316.24357700987383,23707,Continuing
19,11,284710,-94.87307310296215,1.4164233044419501e-50,316.24357700987383,23707,Continuing
20,13,714735,-94.87307310296215,8.021057665511101e-55,316.24357700987383,23707,Continuing
21,21,1167261,-94.87307310296215,1.5985894898215032e-94,316.24357700987383,23707,Continuing
22,23,1281399,-94.87307310296215,3.7062520529655075e-102,316.24357700987383,23707,Continuing
23,32,207474,-94.87307310296215,2.6294228019485776e-20,316.24357700987383,23707,Continuing
24,38,224858,-94.87307310296215,5.826346407683136e-22,316.24357700987383,23707,Continuing
25,44,299002,-94.87307310296215,8.109955668186566e-16,316.24357700987383,23707,Continuing
26,45,481313,-94.87307310296215,5.571600455145124e-18,316.24357700987383,23707,Continuing
27,47,416405,-94.87307310296215,8.105869593403337e-18,316.24357700987383,23707,Continuing
28,77,476197,-94.87307310296215,6.044517746001329e-15,316.24357700987383,23707,Continuing
29,19,446747,-94.87307310296212,3.0784059907267523e-14,316.24357700987383,23707,Continuing
30,79,548909,-94.87307310296205,9.4233131496369e-14,316.24357700987383,23707,Continuing
31,49,234879,-94.87307310258721,3.749365515970656e-10,316.24357700987383,23707,Continuing
32,106,437082,-94.87307169729206,1.4056700930865972e-06,316.24357700987383,23707,Continuing
33,54,376516,-94.87307089561205,2.2073501012102306e-06,316.24357700987383,23707,Continuing
34,76,272660,-94.87279155417667,0.00028154878547876147,316.24357700987383,23707,Continuing
35,128,258154,-94.87159562857465,0.001477474387504731,316.24357700987383,23707,Continuing
36,109,452558,-94.86990516404624,0.003167938915909721,316.24357700987383,23707,Continuing
37,105,141683,-94.75866653655433,0.11440656639056754,316.24357700981636,23707,Continuing
38,15,102012,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
39,63,300244,-94.56203179543894,0.31104130741850666,316.2435770095248,23707,Continuing
40,64,269180,-94.44204478100843,0.4310283218486443,316.2435770095236,23707,Continuing
41,36,190636,-94.87307310296215,4.292597474918724e-52,316.24357700987383,23707,Continuing
42,30,209698,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
43,33,132665,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
44,39,98773,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
45,41,370439,-94.87307310296215,1.2725361054548398e-42,316.24357700987383,23707,Continuing
46,40,343647,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
47,43,228347,-94.87307310296215,1.0480643947852283e-22,316.24357700987383,23707,Continuing
48,42,482218,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
49,48,404845,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
50,50,199330,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
51,51,293210,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
52,53,374938,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
53,56,133495,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
54,74,140574,-92838.42240223775,-92753.61134795172,282.7035142867432,23707,Continuing
55,98,147202,14208.495212714663,14245.725802083209,124.10196456182034,23707,Continuing
56,57,237318,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
57,58,221696,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
58,59,123157,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
59,60,38893,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
60,61,449878,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
61,62,40621,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
62,65,349707,-94.87307310296215,0.0,316.24357700987383,23707,Continuing
