Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,163,220.57,,,,221**2 * RBF(length_scale=0.00863) + WhiteKernel(noise_level=1.24e-05),1243.67,Initial selection
1,162,217.94,220.57149362621018,220.5699999438048,0.004978941351293811,219**2 * RBF(length_scale=1) + WhiteKernel(noise_level=3.46),1243.67,Continuing
2,171,419.51,228.87037133469244,208.75619005413125,67.04727093520397,316**2 * RBF(length_scale=0.472) + WhiteKernel(noise_level=3.46),1243.67,Continuing
3,224,637.46,429.7690600431314,374.0375156149837,185.77181476049222,316**2 * RBF(length_scale=0.711) + WhiteKernel(noise_level=3.46),1243.67,Continuing
4,223,636.48,656.8208819430935,630.5919835512941,87.429661305998,316**2 * RBF(length_scale=0.859) + WhiteKernel(noise_level=3.44),1243.67,Continuing
5,230,738.1,638.1925496767899,637.4054817751729,2.6235596720566687,316**2 * RBF(length_scale=0.637) + WhiteKernel(noise_level=10),1243.67,Continuing
6,228,697.4,596.3348936141894,588.1987063198467,27.12062431447566,316**2 * RBF(length_scale=0.396) + WhiteKernel(noise_level=10),1243.67,Continuing
7,191,398.5758253,568.1367389385032,512.054404811468,186.94111375678412,316**2 * RBF(length_scale=0.385) + WhiteKernel(noise_level=10),1243.67,Continuing
8,192,424.1973941,407.55186194555847,356.50844109889977,170.14473615552896,316**2 * RBF(length_scale=0.392) + WhiteKernel(noise_level=10),1243.67,Continuing
9,210,356.76,276.9214403165612,191.42492733256168,284.9883766133318,316**2 * RBF(length_scale=0.402) + WhiteKernel(noise_level=10),1243.67,Continuing
10,208,297.95,242.91596091439686,183.5532502357258,197.87570226223687,316**2 * RBF(length_scale=0.403) + WhiteKernel(noise_level=10),1243.67,Continuing
11,209,325.42,244.0003329264545,194.35648697361546,165.47948650946344,316**2 * RBF(length_scale=0.41) + WhiteKernel(noise_level=10),1243.67,Continuing
12,170,405.26,232.00870756451167,183.5153800740427,161.6444249682299,316**2 * RBF(length_scale=0.405) + WhiteKernel(noise_level=10),1243.67,Continuing
13,211,382.45,189.03810865314176,96.74141410207439,307.6556485035579,316**2 * RBF(length_scale=0.414) + WhiteKernel(noise_level=10),1243.67,Continuing
14,213,406.47,346.659214669118,284.30271615365086,207.85499505155715,316**2 * RBF(length_scale=0.42) + WhiteKernel(noise_level=10),1243.67,Continuing
15,205,248.62,197.27161686371048,107.09088425516488,300.6024420284853,316**2 * RBF(length_scale=0.426) + WhiteKernel(noise_level=10),1243.67,Continuing
16,206,268.25,249.9465438926739,248.60494061498866,4.472010925617503,316**2 * RBF(length_scale=0.426) + WhiteKernel(noise_level=10),1243.67,Continuing
17,203,226.25,172.03632386732602,81.41956260710056,302.05587086741826,310**2 * RBF(length_scale=0.426) + WhiteKernel(noise_level=10),1243.67,Continuing
18,135,281.68,161.61466811986352,74.33489729399957,290.9325694195465,303**2 * RBF(length_scale=0.422) + WhiteKernel(noise_level=10),1243.67,Continuing
19,178,111.8949727,262.40483396553964,201.36261609282892,203.4740595757025,293**2 * RBF(length_scale=0.418) + WhiteKernel(noise_level=10),1243.67,Continuing
20,180,151.3841761,223.35918738755487,183.5483288465723,132.70286180327525,287**2 * RBF(length_scale=0.421) + WhiteKernel(noise_level=10),1243.67,Continuing
21,156,116.5,231.41136949145144,167.13700206423346,214.24789142405993,280**2 * RBF(length_scale=0.422) + WhiteKernel(noise_level=10),1243.67,Continuing
22,134,278.51,184.7492529160341,164.2368045447202,68.37482790437961,287**2 * RBF(length_scale=0.413) + WhiteKernel(noise_level=10),1243.67,Continuing
23,190,390.2707837,425.53984692559396,391.7075484970567,112.77432809512425,283**2 * RBF(length_scale=0.418) + WhiteKernel(noise_level=10),1243.67,Continuing
24,184,200.7545831,313.4201891225829,265.71431784161655,159.0195709365545,277**2 * RBF(length_scale=0.417) + WhiteKernel(noise_level=10),1243.67,Continuing
25,216,696.39,252.81013807649168,213.66983562102806,130.4676748515454,308**2 * RBF(length_scale=0.373) + WhiteKernel(noise_level=10),1243.67,Continuing
26,212,395.74,527.7183952928484,486.2453798432632,138.24338483195075,304**2 * RBF(length_scale=0.371) + WhiteKernel(noise_level=10),1243.67,Continuing
27,214,451.64,385.9371914484057,340.9546459139633,149.94181844814136,302**2 * RBF(length_scale=0.373) + WhiteKernel(noise_level=10),1243.67,Continuing
28,215,457.13,452.93114536658874,451.5896571942028,4.471627241286466,302**2 * RBF(length_scale=0.373) + WhiteKernel(noise_level=10),1243.67,Continuing
29,166,249.23,341.4390698230352,322.4698848429727,63.23061660020831,302**2 * RBF(length_scale=0.37) + WhiteKernel(noise_level=10),1243.67,Continuing
30,161,214.21,293.1038778607684,240.9982178307182,173.68553343350064,297**2 * RBF(length_scale=0.371) + WhiteKernel(noise_level=10),1243.67,Continuing
31,202,214.93,287.46629368527755,262.06817459647937,84.6603969626606,296**2 * RBF(length_scale=0.374) + WhiteKernel(noise_level=10),1243.67,Continuing
32,167,250.28,250.74295837425205,249.4025148571418,4.468145057034242,296**2 * RBF(length_scale=0.374) + WhiteKernel(noise_level=10),1243.67,Continuing
33,187,322.6997586,204.3474584483153,164.39768990828517,133.16589513343382,299**2 * RBF(length_scale=0.376) + WhiteKernel(noise_level=10),1243.67,Continuing
34,164,220.66,272.3784413086138,230.53951913196215,139.46307392217213,296**2 * RBF(length_scale=0.379) + WhiteKernel(noise_level=10),1243.67,Continuing
35,149,328.45,231.89961914167347,210.5440814129829,71.18512576230185,297**2 * RBF(length_scale=0.371) + WhiteKernel(noise_level=10),1243.67,Continuing
36,148,328.21,294.89928790274183,275.6122916305176,64.28998757408083,300**2 * RBF(length_scale=0.376) + WhiteKernel(noise_level=10),1243.67,Continuing
37,186,318.1919743,305.23159474581166,296.3036253085444,29.75989812422432,299**2 * RBF(length_scale=0.376) + WhiteKernel(noise_level=10),1243.67,Continuing
38,139,336.24,300.8374622506286,285.38603160225057,51.50476882792683,303**2 * RBF(length_scale=0.382) + WhiteKernel(noise_level=10),1243.67,Continuing
39,115,325.56,319.4163914039599,314.3872412380649,16.763833886316593,298**2 * RBF(length_scale=0.379) + WhiteKernel(noise_level=10),1243.67,Continuing
40,113,226.22,327.74737332123505,319.58084101989243,27.221774337808746,316**2 * RBF(length_scale=0.359) + WhiteKernel(noise_level=10),1243.67,Continuing
41,114,291.41,464.7861583160467,428.88736690820343,119.66263802614424,305**2 * RBF(length_scale=0.348) + WhiteKernel(noise_level=10),1243.67,Continuing
42,116,452.8,292.8361374972033,291.49472213772333,4.471384531599873,310**2 * RBF(length_scale=0.357) + WhiteKernel(noise_level=10),1243.67,Continuing
43,123,552.26,373.2858517191734,372.12402513253164,3.872755288805919,316**2 * RBF(length_scale=0.362) + WhiteKernel(noise_level=10),1243.67,Continuing
44,112,904.29,447.171488143781,394.0404354665952,177.10350892395263,316**2 * RBF(length_scale=0.361) + WhiteKernel(noise_level=10),1243.67,Continuing
45,232,824.47,937.4637140838905,930.793955167021,22.23252972289858,316**2 * RBF(length_scale=0.301) + WhiteKernel(noise_level=10),1243.67,Continuing
46,220,546.79,904.4702205761664,903.132696575794,4.4584133345747325,316**2 * RBF(length_scale=0.321) + WhiteKernel(noise_level=10),1243.67,Continuing
47,16,490.06,824.5323092611133,823.1949285723737,4.4579356291321215,316**2 * RBF(length_scale=0.333) + WhiteKernel(noise_level=10),1243.67,Continuing
48,226,658.86,726.0868837471553,724.9268274889328,3.866854194075242,316**2 * RBF(length_scale=0.352) + WhiteKernel(noise_level=10),1243.67,Continuing
49,110,770.35,689.6783274905832,678.8405110188821,36.12605490567042,316**2 * RBF(length_scale=0.332) + WhiteKernel(noise_level=10),1243.67,Continuing
50,19,634.35,658.7425822441309,657.5821015735273,3.868268902011594,316**2 * RBF(length_scale=0.328) + WhiteKernel(noise_level=10),1243.67,Continuing
51,20,688.74,650.9562418400226,649.8614337532781,3.6493602891483117,316**2 * RBF(length_scale=0.333) + WhiteKernel(noise_level=10),1243.67,Continuing
52,21,725.7933279,660.618909443542,659.5586424812209,3.5342232077367726,316**2 * RBF(length_scale=0.338) + WhiteKernel(noise_level=10),1243.67,Continuing
53,23,788.8326479,673.8142554300765,672.775301045201,3.463181282918262,316**2 * RBF(length_scale=0.0121) + WhiteKernel(noise_level=10),1243.67,Continuing
54,25,804.11,693.0541610899649,692.0294672332238,3.4156461891367713,316**2 * RBF(length_scale=0.347) + WhiteKernel(noise_level=10),1243.67,Continuing
55,26,839.28,709.0522295503273,708.0382057728712,3.3800792581871395,316**2 * RBF(length_scale=0.00863) + WhiteKernel(noise_level=10),1243.67,Continuing
56,27,852.33,725.4516713001702,724.4454414090578,3.3540996370413874,316**2 * RBF(length_scale=0.344) + WhiteKernel(noise_level=10),1243.67,Continuing
57,182,160.6199195,437.77002593026475,414.9600520488517,76.03324627137684,316**2 * RBF(length_scale=0.313) + WhiteKernel(noise_level=10),1243.67,Continuing
58,229,731.11,433.2127369286272,432.11736035358626,3.651255250136419,316**2 * RBF(length_scale=0.306) + WhiteKernel(noise_level=10),1243.67,Continuing
59,126,660.0,507.90367226259474,506.8430482293479,3.5354134441559952,316**2 * RBF(length_scale=0.302) + WhiteKernel(noise_level=10),1243.67,Continuing
60,231,772.94,538.507871223838,537.4686631523073,3.4640269051026022,316**2 * RBF(length_scale=0.297) + WhiteKernel(noise_level=10),1243.67,Continuing
61,127,1089.12,577.7335774725327,576.7088970363084,3.4156014540810027,316**2 * RBF(length_scale=0.286) + WhiteKernel(noise_level=10),1243.67,Continuing
62,122,543.75,445.38472965140096,430.9978545438498,47.95625035850377,316**2 * RBF(length_scale=0.272) + WhiteKernel(noise_level=10),1243.67,Continuing
63,111,838.31,414.31861367251474,383.09224674198776,104.0878897684232,316**2 * RBF(length_scale=0.242) + WhiteKernel(noise_level=10),1243.67,Continuing
64,150,348.88,681.2082297920552,673.2757709138095,26.441529594152517,316**2 * RBF(length_scale=0.00863) + WhiteKernel(noise_level=10),1243.67,Continuing
65,181,155.3457121,152.71064644449865,151.36903919608022,4.472024161394791,316**2 * RBF(length_scale=0.0121) + WhiteKernel(noise_level=10),1243.67,Continuing
66,157,118.34,117.82995841330184,116.4883511648834,4.472024161394791,316**2 * RBF(length_scale=0.14) + WhiteKernel(noise_level=10),1243.67,Continuing
67,142,280.38,443.01933349269103,410.7622647455255,107.52356249055177,316**2 * RBF(length_scale=0.139) + WhiteKernel(noise_level=10),1243.67,Continuing
68,100,433.78,481.19672249210305,440.48848982654454,135.69410888519505,316**2 * RBF(length_scale=0.141) + WhiteKernel(noise_level=10),1243.67,Continuing
69,103,562.06,292.04665779776377,257.07894292503664,116.55904957575716,316**2 * RBF(length_scale=0.126) + WhiteKernel(noise_level=10),1243.67,Continuing
70,105,607.72,563.2527547910594,561.9112964210392,4.471527900067184,316**2 * RBF(length_scale=0.124) + WhiteKernel(noise_level=10),1243.67,Continuing
71,104,580.44,530.4527507714106,485.21623364129914,150.78839043370476,316**2 * RBF(length_scale=0.128) + WhiteKernel(noise_level=10),1243.67,Continuing
72,108,659.36,581.7427063436595,580.4012264534249,4.4715996341153925,316**2 * RBF(length_scale=0.128) + WhiteKernel(noise_level=10),1243.67,Continuing
73,107,625.33,511.2016259934591,467.2958338018554,146.3526406386791,316**2 * RBF(length_scale=0.13) + WhiteKernel(noise_level=10),1243.67,Continuing
74,101,484.36,456.840797706201,445.10711647424614,39.11227077318281,316**2 * RBF(length_scale=0.128) + WhiteKernel(noise_level=10),1243.67,Continuing
75,109,750.9,413.60962782140246,357.9877961972961,185.40610541368773,316**2 * RBF(length_scale=0.124) + WhiteKernel(noise_level=10),1243.67,Continuing
76,120,540.19,631.9184577122861,606.6434922193002,84.24988497661963,316**2 * RBF(length_scale=0.125) + WhiteKernel(noise_level=10),1243.67,Continuing
77,106,618.72,440.07959495599516,427.67387174435623,41.35241070546304,316**2 * RBF(length_scale=0.00991) + WhiteKernel(noise_level=10),1243.67,Continuing
78,145,291.83,281.69357205193813,280.3519648035197,4.472024161394791,316**2 * RBF(length_scale=0.101) + WhiteKernel(noise_level=10),1243.67,Continuing
