Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,117,475.46,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),1243.67,Initial selection
1,218,537.77,1061.1665253690112,216.55051210323305,281.5386710885927,316**2 * RBF(length_scale=6.4) + WhiteKernel(noise_level=10),1243.67,Continuing
2,152,44.1,1090.667307953966,282.7587950744093,269.3028376265189,316**2 * RBF(length_scale=4.95) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
3,2,14.78,1097.7356827131352,317.99450280496706,259.913726636056,283**2 * RBF(length_scale=3.42) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
4,9,45.53,1001.2973436117729,246.98292495166993,251.43813955336765,249**2 * RBF(length_scale=2.74) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
5,209,325.42,871.4693962208554,383.8442044757966,162.54173058168627,231**2 * RBF(length_scale=2.77) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
6,6,26.19,773.5650138187079,376.9155989666623,132.21647161734856,224**2 * RBF(length_scale=1.84) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
7,203,226.25,769.914918683999,419.3861385643016,116.84292670656579,228**2 * RBF(length_scale=1.56) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
8,17,559.01,747.953142513643,566.8571446956071,60.36533260601197,220**2 * RBF(length_scale=1.64) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
9,176,76.51244504,698.7609425402768,518.684441281154,60.02550041970757,267**2 * RBF(length_scale=0.738) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
10,217,271.56,1010.84187659576,354.3190444765427,218.84094403973913,255**2 * RBF(length_scale=0.726) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
11,147,326.54,956.8502516743447,409.41720628160147,182.47768179758106,245**2 * RBF(length_scale=0.715) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
12,198,195.33,910.0313465953777,360.9421178574803,183.02974291263249,237**2 * RBF(length_scale=0.668) + WhiteKernel(noise_level=6.8e-06),1243.67,Continuing
13,22,766.85,834.3392600426148,516.1865471828116,106.05090428660104,268**2 * RBF(length_scale=0.642) + WhiteKernel(noise_level=0.218),1243.67,Continuing
14,125,608.87,961.9584864638877,629.9750601398825,110.66114210800171,264**2 * RBF(length_scale=0.667) + WhiteKernel(noise_level=10),1243.67,Continuing
15,164,220.66,870.0235714321643,650.1110556025661,73.3041719431994,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
16,0,12.77,948.7307310296214,0.0,316.24357700987383,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
17,1,13.19,948.7307310296214,0.0,316.24357700987383,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
18,5,24.01,948.7307310296214,0.0,316.24357700987383,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
19,7,33.44,948.7307310296214,0.0,316.24357700987383,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
