Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,53,16.69,,,,16.7**2 * RBF(length_scale=116) + WhiteKernel(noise_level=0.167),1243.67,Initial selection
1,13,215.37,17.065231909789883,16.625515295672734,1.465722047057159,153**2 * RBF(length_scale=4.87) + WhiteKernel(noise_level=5.83e-05),1243.67,Continuing
2,152,44.1,208.84041977994568,191.34243367197593,58.32662035989915,125**2 * RBF(length_scale=1.42) + WhiteKernel(noise_level=0.00217),1243.67,Continuing
3,42,49.98,41.15528587227142,6.773310773251306,114.60658366340039,114**2 * RBF(length_scale=1.72) + WhiteKernel(noise_level=6.5),1243.67,Continuing
4,37,11.44,61.66183467012573,41.837953294937314,66.07960458396138,110**2 * RBF(length_scale=1.92) + WhiteKernel(noise_level=0.000265),1243.67,Continuing
5,62,7.25,54.25463430082411,50.59119647494454,12.21145941959857,100**2 * RBF(length_scale=0.712) + WhiteKernel(noise_level=10),1243.67,Continuing
6,6,26.19,34.88292717320762,15.210029292042943,65.57632627054893,98.7**2 * RBF(length_scale=0.89) + WhiteKernel(noise_level=10),1243.67,Continuing
7,81,6.31,35.28074050604435,21.46089802885114,46.06614159064405,95.6**2 * RBF(length_scale=0.954) + WhiteKernel(noise_level=10),1243.67,Continuing
8,36,11.15,41.845015740219104,23.959633539965182,59.617940667513075,95.1**2 * RBF(length_scale=1.06) + WhiteKernel(noise_level=10),1243.67,Continuing
9,198,195.33,35.969566740529544,12.907192223128206,76.87458172467112,117**2 * RBF(length_scale=1.07) + WhiteKernel(noise_level=0.604),1243.67,Continuing
10,98,233.89,209.3013673041831,205.2620359475944,13.464437855295635,157**2 * RBF(length_scale=1.38) + WhiteKernel(noise_level=10),1243.67,Continuing
11,104,580.44,366.2623662642828,345.9581293740194,67.68078963421131,316**2 * RBF(length_scale=2.38) + WhiteKernel(noise_level=3.94),1243.67,Continuing
12,16,490.06,780.1862712590437,770.2147689025587,33.238341188283314,200**2 * RBF(length_scale=1.14) + WhiteKernel(noise_level=10),1243.67,Continuing
13,169,385.2,601.4040706415713,590.9485752399758,34.851651338651756,246**2 * RBF(length_scale=0.736) + WhiteKernel(noise_level=10),1243.67,Continuing
14,22,766.85,632.3233376576738,625.9897398600124,21.11199265887169,274**2 * RBF(length_scale=0.382) + WhiteKernel(noise_level=10),1243.67,Continuing
15,24,800.58,767.8335687003162,766.4926144848596,4.469847384855438,315**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
16,222,602.48,784.8372939888849,783.6754087677109,3.8729507372464487,259**2 * RBF(length_scale=0.452) + WhiteKernel(noise_level=10),1243.67,Continuing
17,227,695.67,724.2571809087398,723.1618968049464,3.650947012644469,258**2 * RBF(length_scale=0.468) + WhiteKernel(noise_level=10),1243.67,Continuing
18,113,226.22,686.1909155069459,680.1708020133665,20.067044978598112,299**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
19,108,659.36,581.716881817572,580.3752784312762,4.47201128765244,304**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
20,19,634.35,491.34870807012936,490.007103487905,4.4720152740811585,312**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
21,20,688.74,563.3380204259636,562.1761353644451,3.8729502050614872,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
22,21,725.7933279,605.4586284445587,604.3631878937595,3.6514685026641955,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
23,23,788.8326479,635.7806214961422,634.7199639759492,3.5355250673097927,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
24,25,804.11,666.5811130744767,665.5418843219522,3.464095841748019,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
25,26,839.28,689.6608792202288,688.6361853634878,3.4156461891367713,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
26,27,852.33,711.1706070801774,710.1564228800125,3.3806140005495884,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
27,232,824.47,728.9341277677066,727.9278978765942,3.3540996370413874,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
28,201,213.5,196.65207620152293,195.3104689531045,4.472024161394791,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
29,0,12.77,94.87307310296215,0.0,316.24357700987383,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
30,1,13.19,94.87307310296215,0.0,316.24357700987383,315**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
31,2,14.78,94.6528550159614,0.0,315.5095167198714,307**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
32,5,24.01,92.13583351485777,0.0,307.1194450495259,299**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
