Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,163,220.57,,,,221**2 * RBF(length_scale=507) + WhiteKernel(noise_level=10),1243.67,Initial selection
1,13,215.37,223.36046269926823,220.49556538531348,5.729794627909499,218**2 * RBF(length_scale=631) + WhiteKernel(noise_level=9.47),1243.67,Continuing
2,10,45.97,221.15853314556043,218.8593698494694,4.598326592182023,174**2 * RBF(length_scale=8.76) + WhiteKernel(noise_level=10),1243.67,Continuing
3,11,140.7,255.70855653339686,236.27573790333406,38.865637260125595,166**2 * RBF(length_scale=4.78) + WhiteKernel(noise_level=10),1243.67,Continuing
4,16,490.06,246.8202766611948,226.58631009535057,40.46793313168847,252**2 * RBF(length_scale=1.51) + WhiteKernel(noise_level=10),1243.67,Continuing
5,112,904.29,492.69266011378727,488.4462396219006,8.49284098377335,316**2 * RBF(length_scale=0.048) + WhiteKernel(noise_level=10),1243.67,Continuing
6,220,546.79,906.4293620402549,904.1933834283839,4.471957223742146,316**2 * RBF(length_scale=0.0704) + WhiteKernel(noise_level=10),1243.67,Continuing
7,226,658.86,727.4307518830885,725.4943041345995,3.8728954969782214,316**2 * RBF(length_scale=0.0762) + WhiteKernel(noise_level=10),1243.67,Continuing
8,110,770.35,684.8248614482983,599.0439831183758,171.56175665984514,316**2 * RBF(length_scale=0.106) + WhiteKernel(noise_level=10),1243.67,Continuing
9,19,634.35,492.3667194040374,490.1309611687524,4.471516470569977,316**2 * RBF(length_scale=0.148) + WhiteKernel(noise_level=10),1243.67,Continuing
10,20,688.74,564.1888367549761,562.2525125971297,3.8726483156928886,316**2 * RBF(length_scale=0.192) + WhiteKernel(noise_level=10),1243.67,Continuing
11,21,725.7933279,606.2458565205873,604.4202443293761,3.6512243824221287,316**2 * RBF(length_scale=0.236) + WhiteKernel(noise_level=10),1243.67,Continuing
12,23,788.8326479,636.5307639561638,634.7631100472063,3.5353078179150303,316**2 * RBF(length_scale=0.286) + WhiteKernel(noise_level=10),1243.67,Continuing
13,25,804.11,667.2996480162147,665.5677044363177,3.463887159793931,316**2 * RBF(length_scale=0.307) + WhiteKernel(noise_level=10),1243.67,Continuing
14,26,839.28,690.3519843778471,688.6442462499253,3.4154762558434415,316**2 * RBF(length_scale=0.299) + WhiteKernel(noise_level=10),1243.67,Continuing
15,232,824.47,711.8412287115158,710.1509816334583,3.3804941561149766,316**2 * RBF(length_scale=0.281) + WhiteKernel(noise_level=10),1243.67,Continuing
16,27,852.33,726.112405461245,724.4353964459151,3.354018030659782,316**2 * RBF(length_scale=0.258) + WhiteKernel(noise_level=10),1243.67,Continuing
17,182,160.6199195,450.64138297448653,319.2986962224315,262.6853735041101,316**2 * RBF(length_scale=0.237) + WhiteKernel(noise_level=10),1243.67,Continuing
18,231,772.94,307.464162165353,203.80596600985155,207.31639231100294,316**2 * RBF(length_scale=0.189) + WhiteKernel(noise_level=10),1243.67,Continuing
19,229,731.11,775.08635105519,772.8503648917249,4.4719723269301275,316**2 * RBF(length_scale=0.191) + WhiteKernel(noise_level=10),1243.67,Continuing
20,114,291.41,753.917426803368,751.9809592958773,3.8729350149814405,316**2 * RBF(length_scale=0.215) + WhiteKernel(noise_level=10),1243.67,Continuing
21,116,452.8,600.286927658445,598.4611999623448,3.6514553922004245,316**2 * RBF(length_scale=0.221) + WhiteKernel(noise_level=10),1243.67,Continuing
22,123,552.26,563.8144684993949,562.0467103137635,3.535516371262985,316**2 * RBF(length_scale=0.221) + WhiteKernel(noise_level=10),1243.67,Continuing
23,126,660.0,561.8214511605663,560.0894060996361,3.464090121860426,316**2 * RBF(length_scale=0.218) + WhiteKernel(noise_level=10),1243.67,Continuing
24,127,1089.12,578.448735654965,576.740914457012,3.4156423959060604,316**2 * RBF(length_scale=0.206) + WhiteKernel(noise_level=10),1243.67,Continuing
25,122,543.75,609.7835740093724,543.124959965568,133.31722808760873,316**2 * RBF(length_scale=0.222) + WhiteKernel(noise_level=10),1243.67,Continuing
26,111,838.31,426.02766509224307,306.1127302343957,239.82986971569468,316**2 * RBF(length_scale=0.231) + WhiteKernel(noise_level=10),1243.67,Continuing
27,150,348.88,811.7425036136142,774.4774343697354,74.53013848775764,316**2 * RBF(length_scale=0.114) + WhiteKernel(noise_level=10),1243.67,Continuing
28,146,312.65,441.1712039572626,302.90941166648736,276.52358458155055,316**2 * RBF(length_scale=0.117) + WhiteKernel(noise_level=10),1243.67,Continuing
29,100,433.78,455.52855325695475,308.935628136146,293.1858502416174,316**2 * RBF(length_scale=0.125) + WhiteKernel(noise_level=10),1243.67,Continuing
30,120,540.19,434.21391760800446,316.553748838507,235.32033753899495,316**2 * RBF(length_scale=0.124) + WhiteKernel(noise_level=10),1243.67,Continuing
31,109,750.9,550.9079491957915,494.45629813065136,112.90330213028037,316**2 * RBF(length_scale=0.111) + WhiteKernel(noise_level=10),1243.67,Continuing
32,106,618.72,466.4680048880725,382.5187879285768,167.89843391899151,316**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
33,162,217.94,222.78395728617662,220.5479452054792,4.472024161394791,316**2 * RBF(length_scale=0.104) + WhiteKernel(noise_level=10),1243.67,Continuing
