Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,97,86.01,,,,86**2 * RBF(length_scale=0.0985) + WhiteKernel(noise_level=1.06),1243.67,Initial selection
1,95,29.81,0.0013488305340431763,0.0013488305340431763,86.00999755453796,64.3**2 * RBF(length_scale=0.474) + WhiteKernel(noise_level=8.54),1243.67,Continuing
2,80,2.44,42.74656032319107,42.74656032319107,56.68445364754118,50.4**2 * RBF(length_scale=0.341) + WhiteKernel(noise_level=0.00299),1243.67,Continuing
3,90,11.47,26.165618361436305,26.165618361436305,47.07477149485648,43.8**2 * RBF(length_scale=0.32) + WhiteKernel(noise_level=0.0181),1243.67,Continuing
4,64,11.38,18.387005143229096,18.387005143229096,39.656672115613205,39.3**2 * RBF(length_scale=0.321) + WhiteKernel(noise_level=0.000334),1243.67,Continuing
5,92,13.55,12.523146147609067,12.523146147609067,30.364199419662608,36.6**2 * RBF(length_scale=0.343) + WhiteKernel(noise_level=0.000119),1243.67,Continuing
6,73,17.57,11.380001149374893,11.380001149374893,0.015438903996794288,36.5**2 * RBF(length_scale=0.348) + WhiteKernel(noise_level=10),1243.67,Continuing
7,44,7.09,11.08868598435524,11.08868598435524,7.600292881338705,37.4**2 * RBF(length_scale=0.4) + WhiteKernel(noise_level=10),1243.67,Continuing
8,60,63.53,11.920709380625013,11.920709380625013,24.416287176019253,41**2 * RBF(length_scale=0.352) + WhiteKernel(noise_level=10),1243.67,Continuing
9,28,5.09,58.61701296894012,58.61701296894012,17.02095377217583,42.7**2 * RBF(length_scale=0.245) + WhiteKernel(noise_level=10),1243.67,Continuing
10,48,10.37,33.94707337952749,33.94707337952749,38.083918423615586,39.8**2 * RBF(length_scale=0.224) + WhiteKernel(noise_level=10),1243.67,Continuing
11,45,7.84,18.901804270159914,18.901804270159914,28.652780748275763,38.5**2 * RBF(length_scale=0.228) + WhiteKernel(noise_level=10),1243.67,Continuing
12,39,18.25,15.129490734945598,15.129490734945598,21.32400669139813,37.7**2 * RBF(length_scale=0.24) + WhiteKernel(noise_level=10),1243.67,Continuing
13,57,28.51,14.399923736738918,14.399923736738918,21.026530463137323,37.6**2 * RBF(length_scale=0.248) + WhiteKernel(noise_level=10),1243.67,Continuing
14,52,16.66,10.768205835068224,10.768205835068224,34.85918357697016,36.1**2 * RBF(length_scale=0.247) + WhiteKernel(noise_level=10),1243.67,Continuing
15,43,6.25,11.249280580286733,11.249280580286733,17.290787722234672,36**2 * RBF(length_scale=0.258) + WhiteKernel(noise_level=10),1243.67,Continuing
16,5,24.01,9.98030672402681,9.98030672402681,17.617930736973044,36.2**2 * RBF(length_scale=0.264) + WhiteKernel(noise_level=10),1243.67,Continuing
17,53,16.69,7.258846589838961,7.258846589838961,16.173720790346323,35.1**2 * RBF(length_scale=0.261) + WhiteKernel(noise_level=10),1243.67,Continuing
18,58,31.24,12.353152751743124,12.353152751743124,18.483672113687398,34.9**2 * RBF(length_scale=0.259) + WhiteKernel(noise_level=10),1243.67,Continuing
19,12,179.53,29.719146631422436,29.719146631422436,21.76916080269613,61.6**2 * RBF(length_scale=0.239) + WhiteKernel(noise_level=10),1243.67,Continuing
20,14,218.67,178.63037715353695,178.63037715353695,4.465534145752224,65.1**2 * RBF(length_scale=0.227) + WhiteKernel(noise_level=10),1243.67,Continuing
21,82,6.68,2.435039602916358,2.435039602916358,4.469494792532666,54.3**2 * RBF(length_scale=0.0183) + WhiteKernel(noise_level=10),1243.67,Continuing
22,46,7.85,1.41295106924997e-10,1.41295106924997e-10,54.370829047358946,52.9**2 * RBF(length_scale=0.00398) + WhiteKernel(noise_level=10),1243.67,Continuing
23,0,12.77,0.0,0.0,53.0264716050152,60.7**2 * RBF(length_scale=0.22) + WhiteKernel(noise_level=10),1243.67,Continuing
24,4,16.94,12.735413880096125,12.735413880096125,4.4691068588783,51.8**2 * RBF(length_scale=0.001) + WhiteKernel(noise_level=10),1243.67,Continuing
25,1,13.19,0.0,0.0,51.85104982647147,58**2 * RBF(length_scale=0.211) + WhiteKernel(noise_level=10),1243.67,Continuing
26,34,8.39,12.885480899251093,12.885480899251093,28.953917477959692,57.2**2 * RBF(length_scale=0.215) + WhiteKernel(noise_level=10),1243.67,Continuing
27,31,7.2,12.648735229720454,12.648735229720454,16.25093408763749,56.7**2 * RBF(length_scale=0.218) + WhiteKernel(noise_level=10),1243.67,Continuing
28,32,7.58,8.251763398180506,8.251763398180506,24.805965112048405,56**2 * RBF(length_scale=0.22) + WhiteKernel(noise_level=10),1243.67,Continuing
29,67,13.46,1.4881644281589972,1.4881644281589972,55.917949137613704,54.1**2 * RBF(length_scale=0.215) + WhiteKernel(noise_level=10),1243.67,Continuing
30,71,16.13,3.6241502501895084,3.6241502501895084,52.062903108708426,52.6**2 * RBF(length_scale=0.211) + WhiteKernel(noise_level=10),1243.67,Continuing
31,77,32.04,13.552646383460385,13.552646383460385,26.642444774784902,52.6**2 * RBF(length_scale=0.214) + WhiteKernel(noise_level=10),1243.67,Continuing
32,47,9.21,28.752513151393472,28.752513151393472,32.24382699875032,51.7**2 * RBF(length_scale=0.212) + WhiteKernel(noise_level=10),1243.67,Continuing
33,72,16.51,9.648027631682691,9.648027631682691,35.17010027708265,51.1**2 * RBF(length_scale=0.214) + WhiteKernel(noise_level=10),1243.67,Continuing
34,49,10.58,9.447125392454787,9.447125392454787,4.456315325928435,51.1**2 * RBF(length_scale=0.214) + WhiteKernel(noise_level=10),1243.67,Continuing
35,87,9.62,8.515574555979072,8.515574555979072,19.497189645457574,50.9**2 * RBF(length_scale=0.219) + WhiteKernel(noise_level=10),1243.67,Continuing
36,89,11.38,9.585035922733084,9.585035922733084,4.440978784836381,50.9**2 * RBF(length_scale=0.219) + WhiteKernel(noise_level=10),1243.67,Continuing
37,65,11.49,1.3306788456073138,1.3306788456073138,20.71723413887774,50.7**2 * RBF(length_scale=0.221) + WhiteKernel(noise_level=10),1243.67,Continuing
38,66,12.36,11.241544397722691,11.241544397722691,4.444992202239724,50.7**2 * RBF(length_scale=0.221) + WhiteKernel(noise_level=10),1243.67,Continuing
39,133,215.93,0.3364915240375106,0.3364915240375106,50.75154973791246,56.5**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=10),1243.67,Continuing
