Iteration,Experiment Index,Observed Conductivity,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Conductivity in Dataset,Stopping Reason
0,53,16.69,,,,16.7**2 * RBF(length_scale=116) + WhiteKernel(noise_level=0.167),1243.67,Initial selection
1,13,215.37,21.02268143684421,16.625515295672734,1.465722047057159,153**2 * RBF(length_scale=4.87) + WhiteKernel(noise_level=5.83e-05),1243.67,Continuing
2,10,45.97,441.310200297227,10.611483097723351,143.56623906650123,137**2 * RBF(length_scale=7.58) + WhiteKernel(noise_level=5.83e-05),1243.67,Continuing
3,2,14.78,303.61308603940654,26.248903329234423,92.45472757005737,132**2 * RBF(length_scale=9.58) + WhiteKernel(noise_level=5.83e-05),1243.67,Continuing
4,152,44.1,228.46069939535718,181.95269518438488,15.502668070324104,99.1**2 * RBF(length_scale=1.33) + WhiteKernel(noise_level=7.05),1243.67,Continuing
5,173,2.740952014,300.9846356302202,6.888838264522285,98.03193245523265,90.5**2 * RBF(length_scale=1.35) + WhiteKernel(noise_level=9.97),1243.67,Continuing
6,182,160.6199195,272.22178140178823,1.0663612259413677,90.38514005861563,104**2 * RBF(length_scale=1.45) + WhiteKernel(noise_level=8.31),1243.67,Continuing
7,205,248.62,349.70616098194296,73.06426236795643,92.21396620466217,121**2 * RBF(length_scale=1.81) + WhiteKernel(noise_level=10),1243.67,Continuing
8,209,325.42,399.9441944211523,210.10117667419505,63.28100591565242,137**2 * RBF(length_scale=1.85) + WhiteKernel(noise_level=0.00603),1243.67,Continuing
9,54,17.89,435.0609438245209,39.17705764401084,131.96129539350335,129**2 * RBF(length_scale=1.81) + WhiteKernel(noise_level=0.00467),1243.67,Continuing
10,223,636.48,407.41314815127487,284.03497979263807,41.12605611954561,205**2 * RBF(length_scale=0.861) + WhiteKernel(noise_level=0.604),1243.67,Continuing
11,162,217.94,810.7674753276711,432.22225791129233,126.18173913879295,210**2 * RBF(length_scale=0.712) + WhiteKernel(noise_level=10),1243.67,Continuing
12,192,424.1973941,770.2417514640072,578.6919378057186,63.84993788609618,221**2 * RBF(length_scale=0.525) + WhiteKernel(noise_level=0.604),1243.67,Continuing
13,224,637.46,847.814701129377,603.1844115304461,81.54342986631026,221**2 * RBF(length_scale=0.597) + WhiteKernel(noise_level=0.604),1243.67,Continuing
14,210,356.76,736.3730571972696,336.3887642741015,133.32809764105605,217**2 * RBF(length_scale=0.626) + WhiteKernel(noise_level=0.604),1243.67,Continuing
