Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Yield Strength in Dataset,Stopping Reason
0,234,1212.6,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),2510.3,Initial selection
1,218,1169.2,1992.4128789435617,723.0217799921446,253.8782197902834,316**2 * RBF(length_scale=7.65) + WhiteKernel(noise_level=10),2510.3,Continuing
2,75,1471.1,1994.9737285035617,864.0382880972544,226.18708808126146,316**2 * RBF(length_scale=11.3) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
3,6,1605.4,2032.4148003326286,855.6520593378119,235.35254819896338,316**2 * RBF(length_scale=13.2) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
4,34,1730.2,2115.1326771386584,740.9671883170172,274.8330977643282,316**2 * RBF(length_scale=16.2) + WhiteKernel(noise_level=10),2510.3,Continuing
5,296,1681.2,2020.3172574547336,1072.4147795455287,189.58049558184098,316**2 * RBF(length_scale=15.8) + WhiteKernel(noise_level=10),2510.3,Continuing
6,21,1860.3,1999.688367747474,1508.6767085736633,98.20233183476218,316**2 * RBF(length_scale=13) + WhiteKernel(noise_level=10),2510.3,Continuing
7,169,1250.5,2061.3307533343136,1105.0863349153747,191.24888368378777,316**2 * RBF(length_scale=13.3) + WhiteKernel(noise_level=10),2510.3,Continuing
8,244,1081.1,1962.6162095873253,1438.5066334407584,104.82191522931339,316**2 * RBF(length_scale=12) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
9,205,1730.2,1962.3493287175281,1465.386967157148,99.392472312076,316**2 * RBF(length_scale=11.1) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
10,215,1688.1,1944.6843814336762,1557.8991589011293,77.35704450650935,316**2 * RBF(length_scale=10.8) + WhiteKernel(noise_level=6.8e-06),2510.3,Continuing
11,142,1340.1,1911.3676289837506,1839.5733880806015,14.358848180629812,316**2 * RBF(length_scale=3.39) + WhiteKernel(noise_level=10),2510.3,Continuing
12,8,1683.0,2447.028317549392,1351.7728778392434,219.0510879420297,316**2 * RBF(length_scale=3.57) + WhiteKernel(noise_level=10),2510.3,Continuing
13,57,1235.9,2462.511417698412,1228.882615860949,246.7257603674926,316**2 * RBF(length_scale=3.59) + WhiteKernel(noise_level=10),2510.3,Continuing
14,203,1688.1,2370.7827234232554,1603.0265255179982,153.5512395810515,316**2 * RBF(length_scale=3.62) + WhiteKernel(noise_level=10),2510.3,Continuing
15,124,1600.0,2319.2517014206956,1108.3636312119713,242.17761404174485,316**2 * RBF(length_scale=3.72) + WhiteKernel(noise_level=10),2510.3,Continuing
16,245,1298.8,2346.5394326880532,1133.3100880961906,242.64586891837249,316**2 * RBF(length_scale=3.78) + WhiteKernel(noise_level=10),2510.3,Continuing
17,138,1525.0,2274.1355145852003,1384.6548464314674,177.8961336307466,316**2 * RBF(length_scale=3.78) + WhiteKernel(noise_level=10),2510.3,Continuing
18,192,1674.6,2254.2522030919963,1339.786042249266,182.89323216854606,316**2 * RBF(length_scale=3.76) + WhiteKernel(noise_level=10),2510.3,Continuing
19,289,1571.2,2294.8654299977047,1176.7891217732204,223.6152616448969,316**2 * RBF(length_scale=3.84) + WhiteKernel(noise_level=10),2510.3,Continuing
20,115,1536.5,2210.678011508132,1580.0952114805182,126.1165600055228,316**2 * RBF(length_scale=3.84) + WhiteKernel(noise_level=10),2510.3,Continuing
21,122,1028.7,2193.2204550788683,965.8898535438848,245.46612030699674,316**2 * RBF(length_scale=3.86) + WhiteKernel(noise_level=10),2510.3,Continuing
22,216,1371.1,2176.1866150073993,1538.2191586498743,127.59349127150502,316**2 * RBF(length_scale=3.85) + WhiteKernel(noise_level=10),2510.3,Continuing
23,305,1139.7,2168.343070219618,1434.9318068687853,146.68225267016652,316**2 * RBF(length_scale=3.74) + WhiteKernel(noise_level=10),2510.3,Continuing
24,40,2157.3,2185.5599881678872,1306.5948119931727,175.7930352349429,316**2 * RBF(length_scale=3.61) + WhiteKernel(noise_level=10),2510.3,Continuing
25,264,1288.4,2562.358656200462,1710.6411302164734,170.3435051967978,316**2 * RBF(length_scale=3.44) + WhiteKernel(noise_level=10),2510.3,Continuing
26,288,1768.0,2528.308243431197,1881.6840231636047,129.3248440535184,316**2 * RBF(length_scale=3.44) + WhiteKernel(noise_level=10),2510.3,Continuing
27,239,1144.8,2383.1080052811117,1628.5532689044148,150.91094727533934,316**2 * RBF(length_scale=3.35) + WhiteKernel(noise_level=10),2510.3,Continuing
28,306,2510.3,2218.577105044945,1772.0975290716615,89.29591519465662,316**2 * RBF(length_scale=2.84) + WhiteKernel(noise_level=10),2510.3,Max yield strength reached
