Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Max Yield Strength in Dataset,Stopping Reason
0,57,1235.9,,,,2510.3,Initial selection
1,11,1232.0,426.10869223153725,175.69585382264958,31.301604801110955,2510.3,Continuing
2,296,1681.2,1261.506244418808,1213.2081548192332,6.037261199946843,2510.3,Continuing
3,244,1081.1,1375.6120459323454,1289.8196876368747,10.72404478693382,2510.3,Continuing
4,136,1199.0,1003.1132322554668,878.5720802284537,15.56764400337663,2510.3,Continuing
5,138,1525.0,1129.9298040183805,1041.2468188293321,11.085373148631042,2510.3,Continuing
6,157,1779.7,1467.054385088325,1360.1329029427518,13.365185268196642,2510.3,Continuing
7,93,1755.2,1801.899959343313,1749.2277870475182,6.584021536974351,2510.3,Continuing
8,147,1736.3,1797.1943965449166,1727.8091632876499,8.673154157158335,2510.3,Continuing
9,288,1768.0,1796.242172540896,1749.7399646825902,5.812775982288227,2510.3,Continuing
10,201,1586.7,1777.770201372978,1734.2590788988418,5.438890309267007,2510.3,Continuing
11,239,1144.8,1880.440863507794,1822.6904564856509,7.218800877767869,2510.3,Continuing
12,123,1729.4,1627.7003898822875,1589.3643073777284,4.792010313069887,2510.3,Continuing
13,40,2157.3,1641.3321882272294,1487.580541377375,19.218955856231773,2510.3,Continuing
14,306,2510.3,1971.8946630478986,1836.043422290922,16.981405094622076,2510.3,Max yield strength reached
