Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Max Yield Strength in Dataset,Stopping Reason
0,234,1212.6,,,,2510.3,Initial selection
1,143,1216.8,1238.5544715082005,1190.7995557049808,5.969364475402462,2510.3,Continuing
2,125,1272.6,1241.8690624494054,1199.747751118554,5.265163916356425,2510.3,Continuing
3,254,1324.3,1291.7598607915895,1264.7689460297413,3.3738643452310133,2510.3,Continuing
4,209,1309.8,1324.2576983995157,1289.358727128506,4.362371408876201,2510.3,Continuing
5,29,1254.0,1325.9295146865545,1293.50978513973,4.052466193353066,2510.3,Continuing
6,190,1243.6,1283.787342304804,1247.216867253893,4.571309381363886,2510.3,Continuing
7,294,1390.4,1229.3447380276925,1181.0282572356946,6.03956009899973,2510.3,Continuing
8,310,1390.4,1321.10616057568,1230.6205460275542,11.310701818515728,2510.3,Continuing
9,109,1437.3,1393.0542619591442,1332.7878280820719,7.533304234634052,2510.3,Continuing
10,48,1451.7,1366.4169672393662,1298.6771451188301,8.467477765066992,2510.3,Continuing
11,297,1404.2,1333.5587024178224,1259.0402059929438,9.314812053109819,2510.3,Continuing
12,97,1420.0,1241.7520250638402,1144.92364052228,12.10354806769501,2510.3,Continuing
13,149,1304.3,1260.7406308436412,1194.2345694864903,8.313257669643852,2510.3,Continuing
14,163,1383.5,1339.3661621769747,1198.5911358140238,17.596878295368874,2510.3,Continuing
15,230,1475.8,1414.4053344482018,1328.5717300112633,10.729200554617302,2510.3,Continuing
16,221,1506.8,1376.5053336253527,1294.0417539283708,10.307947462122742,2510.3,Continuing
17,253,1414.5,1449.6429322196823,1389.048466909071,7.574308163826411,2510.3,Continuing
18,241,1218.8,1163.9524629550838,1062.2767375120184,12.70946568038318,2510.3,Continuing
19,268,1263.6,1207.9689181881763,1113.0850651140292,11.860481634268385,2510.3,Continuing
20,272,1555.8,1218.8377885173195,1089.2536710842587,16.198014679132598,2510.3,Continuing
21,51,1462.7,1330.5159876118532,1234.1606005502858,12.044423382695925,2510.3,Continuing
