Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,72,1317.0,1287.5893892944832,35.97014794262481,286,1297.5,1255.6179673686654,78.32828641423498,2510.3,Continuing
2,42,1350.3,1321.7093452260299,14.518374778115199,169,1250.5,1296.5669774530395,9.279147933346483,2510.3,Continuing
3,284,1348.6,1330.1170593391705,39.16607942721417,138,1525.0,1289.9655874681077,34.92358296502418,2510.3,Continuing
4,131,1391.2,1344.1772473865822,12.18632770622585,265,1680.6,1450.8744257600483,92.15169566114149,2510.3,Continuing
5,145,1285.0,1319.6170061129542,36.68392123518264,296,1681.2,1456.9151117765455,130.81275084018245,2510.3,Continuing
6,133,1312.0,1262.0048164910932,31.307496563071705,244,1081.1,1633.7604511386821,55.30595677339375,2510.3,Continuing
7,88,1294.9,1279.3954950700872,26.880911166263907,215,1688.1,1674.1619743865563,137.61470113817248,2510.3,Continuing
8,307,1344.0,1283.0186784457073,11.509452851410709,8,1683.0,1664.6397633680936,124.48140189318555,2510.3,Continuing
9,95,1277.7,1243.5219024340342,32.18150874194045,57,1235.9,1639.8597722917832,63.227592503538396,2510.3,Continuing
10,58,1276.5,1265.2252990294928,24.059862040297972,245,1298.8,1467.9832939786438,175.54604739058672,2510.3,Continuing
11,242,1305.4,71.08979999656842,313.98621957607116,291,1577.8,1458.4547062235015,146.94361405144292,2510.3,Continuing
12,81,1280.8,1256.276003302635,67.70432757045529,21,1860.3,1555.7022566480227,76.52121579139809,2510.3,Continuing
13,255,1280.2,1144.1141831230138,96.78996746266934,146,1722.5,1842.5404735006684,42.61697521989882,2510.3,Continuing
14,140,1521.3,111.44414549708034,314.45442899662874,198,1061.1,1545.9600470444157,132.35215400802545,2510.3,Continuing
15,180,1182.0,0.5310563517957247,316.2435198623065,175,1074.9,1331.3487612413035,191.6047406727015,2510.3,Continuing
16,66,1157.5,415.2566328271194,296.0669298876083,150,1846.5,1784.8242903927858,28.223775030924386,2510.3,Continuing
17,59,1145.8,706.5139027462451,268.8337532155485,246,1564.0,1817.5214174284815,20.66481454013634,2510.3,Continuing
