Iteration,UCB Index,Observed UCB,Predicted UCB,Uncertainty UCB,EI Index,Observed EI,Predicted EI,Uncertainty EI,Max Yield Strength in Dataset,Stopping Reason
1,242,1305.4,541.1843149426855,287.3515437730436,286,1297.5,1255.6179673686654,78.32828641423498,2510.3,Continuing
2,296,1681.2,1151.4900194770435,145.85975162660017,169,1250.5,1296.5669774530395,9.279147933346483,2510.3,Continuing
3,138,1525.0,1371.4377078476487,148.55796031874817,138,1525.0,1289.9655874681077,34.92358296502418,2510.3,Continuing
4,244,1081.1,1650.7796726075794,62.73029490857746,265,1680.6,1450.8744257600483,92.15169566114149,2510.3,Continuing
5,8,1683.0,1544.006418894611,196.13614191557747,57,1235.9,1491.8029783674483,94.68942767714182,2510.3,Continuing
6,215,1688.1,1670.5779334478696,135.75533507706191,123,1729.4,1274.0882531535408,116.93146525251413,2510.3,Continuing
7,136,1199.0,1643.8921045617492,110.3850374354135,71,2501.1,1443.6909104864017,133.16459015629025,2510.3,Continuing
8,305,1139.7,1449.7471203426285,176.79970437574386,206,2331.1,2497.323455893582,16.371366824846127,2510.3,Continuing
9,291,1577.8,1355.7349633293777,173.6891553746157,171,1837.9,2293.2078524514977,157.03383488846896,2510.3,Continuing
10,184,1012.8,1297.7557686917933,174.19242443300706,264,1288.4,1882.4686587608085,184.5011585295956,2510.3,Continuing
11,172,1164.4,1269.4313746393202,172.57992936042325,273,2402.3,2449.762232762143,16.165484416910154,2510.3,Continuing
12,167,1731.7,1462.1912602280233,97.98456599820786,147,1736.3,2010.8125703749756,107.98225110825516,2510.3,Continuing
13,135,1354.2,1297.2048030850156,156.36407030648667,203,1688.1,1300.715986142007,239.82385837679874,2510.3,Continuing
14,119,1736.3,1634.883792644474,64.96472241133792,30,1194.0,1674.2290327286842,160.81405545576624,2510.3,Continuing
15,266,1667.4,1594.1190686597133,66.53494674638328,263,1123.1,1101.2745340375081,244.39447793405753,2510.3,Continuing
16,102,1575.5,1548.2660285275938,78.53613632715033,235,1419.4,918.901447081177,259.4370190093584,2510.3,Continuing
17,16,1328.3,1550.0176052156985,66.55508054977098,220,1373.9,837.1393024923557,262.9305781179418,2510.3,Continuing
18,285,1812.1,1721.6178192168036,21.83817336370745,21,1860.3,1112.7876791486647,227.80644998812247,2510.3,Continuing
19,126,1391.8,1702.5905189685927,43.27533090031215,2,1382.2,1673.472474507538,154.3987253324054,2510.3,Continuing
20,216,1371.1,1611.7542931967819,71.85452618118833,274,1486.2,1596.0230048003577,152.02370931767342,2510.3,Continuing
21,124,1600.0,1283.8266521022401,152.63517312826002,89,1021.0,1259.1129295428805,190.44507837485034,2510.3,Continuing
22,188,1681.2,1733.3094983075848,35.53031723091495,181,1801.8,1185.9197800047177,191.27415681205323,2510.3,Continuing
23,146,1722.5,1684.6493139950408,32.83675651120169,47,1228.9,1098.821987480376,198.33143787098868,2510.3,Continuing
24,142,1340.1,1727.8524693451732,15.68672539294054,48,1451.7,1324.7670654170452,154.07862921839683,2510.3,Continuing
25,262,1309.1,1528.542668946991,179.59695700856471,18,1592.9,1101.0425110542017,178.48413733303684,2510.3,Continuing
26,55,1463.0,1085.8897105602518,264.9309223949998,238,1188.5,1366.9507477214406,155.60929581779507,2510.3,Continuing
27,246,1564.0,1924.1262824763144,48.1425817643044,35,1357.3,1354.1988515474727,142.08615155638708,2510.3,Continuing
