Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Yield Strength in Dataset,Stopping Reason
0,195,1296.0,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),2510.3,Initial selection
1,88,1294.9,1305.6022785475675,1285.8989528947718,39.406651305591446,316**2 * RBF(length_scale=1e+03) + WhiteKernel(noise_level=0.604),2510.3,Continuing
2,34,1730.2,1297.9058542671266,1295.2429354691672,5.325837595919169,316**2 * RBF(length_scale=23.6) + WhiteKernel(noise_level=0.289),2510.3,Continuing
3,21,1860.3,1481.1365443158652,1452.9302534677163,56.412581696297735,316**2 * RBF(length_scale=14) + WhiteKernel(noise_level=10),2510.3,Continuing
4,142,1340.1,1825.2947253856892,1817.0881973893374,16.413055992703548,316**2 * RBF(length_scale=1.41) + WhiteKernel(noise_level=9.53e-05),2510.3,Continuing
5,42,1350.3,1305.162042914973,1290.7369769056188,28.850132018708244,316**2 * RBF(length_scale=1.26) + WhiteKernel(noise_level=10),2510.3,Continuing
6,284,1348.6,1354.7927819892257,1350.0964886689962,9.392586640458987,316**2 * RBF(length_scale=1.31) + WhiteKernel(noise_level=0.00061),2510.3,Continuing
7,131,1391.2,1341.5018097766729,1335.9375581737595,11.128503205826668,316**2 * RBF(length_scale=0.885) + WhiteKernel(noise_level=10),2510.3,Continuing
8,242,1305.4,1448.5562618448814,1393.0148560305715,111.08281162861971,316**2 * RBF(length_scale=0.843) + WhiteKernel(noise_level=10),2510.3,Continuing
9,95,1277.7,1398.7399921535405,1390.0491365540133,17.38171119905407,316**2 * RBF(length_scale=0.54) + WhiteKernel(noise_level=10),2510.3,Continuing
10,72,1317.0,1323.7362924263718,1320.2732806566255,6.926023539492824,316**2 * RBF(length_scale=0.555) + WhiteKernel(noise_level=10),2510.3,Continuing
11,58,1276.5,1317.5931007548645,1311.552875004385,12.080451500958992,316**2 * RBF(length_scale=0.525) + WhiteKernel(noise_level=10),2510.3,Continuing
12,307,1344.0,1313.9314095759025,1308.623534883911,10.6157493839832,316**2 * RBF(length_scale=0.403) + WhiteKernel(noise_level=10),2510.3,Continuing
