Iteration,Experiment Index,Observed Yield Strength,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Yield Strength in Dataset,Stopping Reason
0,195,1296.0,,,,316**2 * RBF(length_scale=1) + WhiteKernel(noise_level=10),2510.3,Initial selection
1,72,1317.0,1295.3446367443423,1293.3070007697997,20.376359745424804,316**2 * RBF(length_scale=0.978) + WhiteKernel(noise_level=10),2510.3,Continuing
2,42,1350.3,1328.3883619791143,1326.3519065859095,20.36455393204648,316**2 * RBF(length_scale=1.07) + WhiteKernel(noise_level=0.000596),2510.3,Continuing
3,284,1348.6,1359.4040336706296,1356.6173604156804,27.86673254949108,316**2 * RBF(length_scale=1.24) + WhiteKernel(noise_level=0.000106),2510.3,Continuing
4,131,1391.2,1342.5967794058472,1342.106535511226,4.9024389462126114,316**2 * RBF(length_scale=0.403) + WhiteKernel(noise_level=10),2510.3,Continuing
5,58,1276.5,1348.4058352988204,1345.915673906547,24.901613922734096,316**2 * RBF(length_scale=0.306) + WhiteKernel(noise_level=10),2510.3,Continuing
6,307,1344.0,1308.2170670728854,1304.1610967146285,40.559703582568645,316**2 * RBF(length_scale=0.306) + WhiteKernel(noise_level=10),2510.3,Continuing
7,88,1294.9,1326.2270940101553,1321.8501597797313,43.7693423042395,316**2 * RBF(length_scale=0.315) + WhiteKernel(noise_level=10),2510.3,Continuing
8,133,1312.0,1323.615547639918,1321.2099761755962,24.05571464321836,316**2 * RBF(length_scale=0.317) + WhiteKernel(noise_level=10),2510.3,Continuing
9,145,1285.0,1313.425082979395,1311.502685340985,19.223976384100744,316**2 * RBF(length_scale=0.299) + WhiteKernel(noise_level=10),2510.3,Continuing
10,286,1297.5,1272.7500260301708,1270.150253334224,25.997726959466327,316**2 * RBF(length_scale=0.324) + WhiteKernel(noise_level=10),2510.3,Continuing
11,95,1277.7,1254.5430601207152,1253.4167992435423,11.26260877172871,316**2 * RBF(length_scale=0.328) + WhiteKernel(noise_level=10),2510.3,Continuing
12,137,1308.0,1106.6502911462126,1098.4209692787263,82.29321867486298,316**2 * RBF(length_scale=0.324) + WhiteKernel(noise_level=10),2510.3,Continuing
13,242,1305.4,544.4502796035623,515.5063183036157,289.439612999466,316**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=10),2510.3,Continuing
14,0,1167.2,31.624357700987385,0.0,316.24357700987383,316**2 * RBF(length_scale=0.364) + WhiteKernel(noise_level=10),2510.3,Continuing
15,255,1280.2,1118.277597121863,1107.2051636654166,110.72433456446392,316**2 * RBF(length_scale=0.379) + WhiteKernel(noise_level=10),2510.3,Continuing
16,81,1280.8,1243.7350452433186,1238.3161591589233,54.188860843953286,316**2 * RBF(length_scale=0.383) + WhiteKernel(noise_level=10),2510.3,Continuing
17,182,1150.6,734.2170215552309,709.0974231360003,251.19598419230508,316**2 * RBF(length_scale=0.401) + WhiteKernel(noise_level=10),2510.3,Continuing
18,85,1175.4,1027.4726657685906,1009.1557584484362,183.16907320154388,316**2 * RBF(length_scale=0.408) + WhiteKernel(noise_level=10),2510.3,Continuing
19,168,1258.8,1099.5381547444288,1083.457772524451,160.80382219977812,316**2 * RBF(length_scale=0.413) + WhiteKernel(noise_level=10),2510.3,Continuing
20,258,1224.7,1062.3023234349453,1050.5243833656925,117.77940069252662,316**2 * RBF(length_scale=0.418) + WhiteKernel(noise_level=10),2510.3,Continuing
21,66,1157.5,1111.867675728766,1096.5231111035384,153.44564625227503,316**2 * RBF(length_scale=0.427) + WhiteKernel(noise_level=10),2510.3,Continuing
22,60,1340.8,1072.1725051953008,1059.2137391722222,129.58766023078633,316**2 * RBF(length_scale=0.43) + WhiteKernel(noise_level=10),2510.3,Continuing
