Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Max Modulus in Dataset,Stopping Reason
0,58,211.50865412415317,,,,296.35081017123304,Initial selection
1,59,219.61643412334288,211.50865512435408,211.50865412413202,1.0002220613194957e-05,296.35081017123304,Continuing
2,0,81.74085575257114,3.162277660168379,0.0,31.62277660168379,296.35081017123304,Continuing
3,60,272.2240045816517,164.88088889450407,162.8084232474527,20.724656470513665,296.35081017123304,Continuing
4,55,168.33383829683325,83.31566730143362,80.84765625,24.680110514336246,296.35081017123304,Continuing
5,54,197.84044623035882,157.4786874171206,157.18697693926882,2.9171047785176905,296.35081017123304,Continuing
6,1,71.68894182884907,81.740856752785,81.74085575256295,1.0002220613194957e-05,296.35081017123304,Continuing
7,37,152.72295816440803,242.29225874778354,240.7578125,15.344462477835243,296.35081017123304,Continuing
8,62,277.3861208337041,150.68153704647105,150.130859375,5.506776714710601,296.35081017123304,Continuing
9,50,174.66437205644556,318.79431050272206,317.58226365384786,12.120468488742041,296.35081017123304,Continuing
10,63,228.4671903908735,263.00682740384417,261.9670735324771,10.397538713670603,296.35081017123304,Continuing
11,6,204.17680289774339,453.8629572592325,453.20584601104565,6.571112481868129,296.35081017123304,Continuing
12,44,159.30709474405634,225.39370943245044,225.26416015625,1.2954927620043033,296.35081017123304,Continuing
13,47,188.55697291016554,374.2852005238719,374.0504976087671,2.347029151047804,296.35081017123304,Continuing
14,61,201.80400290446062,296.91200110646014,295.14965075546934,17.623503509907874,296.35081017123304,Continuing
15,8,242.7128680778461,327.3431403991905,326.2724358558189,10.70704543371568,296.35081017123304,Continuing
16,9,233.72437240576676,242.71414114630502,242.71414014324546,1.0030595764142337e-05,296.35081017123304,Continuing
17,7,117.40631603510326,200.6318795601256,200.4001051269351,2.3177443319051902,296.35081017123304,Continuing
18,48,171.00469374345903,188.5703135007902,188.5703125,1.0007902079494169e-05,296.35081017123304,Continuing
19,51,181.925661105008,174.67187600135804,174.671875,1.0013580322265625e-05,296.35081017123304,Continuing
20,56,175.8319549576918,138.44205614636857,138.08203125,3.600248963685686,296.35081017123304,Continuing
21,2,66.30151481091211,3.162277660168379,0.0,31.62277660168379,296.35081017123304,Continuing
22,57,296.35081017123304,326.9828561672664,325.5067146362817,14.761415309847234,296.35081017123304,Max modulus reached
