Iteration,Experiment Index,Observed Elastic Modulus,Max Modulus in Dataset,Stopping Reason
0,58,211.50865412415317,296.35081017123304,Initial selection
1,59,219.61643412334288,296.35081017123304,Continuing
2,60,272.2240045816517,296.35081017123304,Continuing
3,61,201.80400290446062,296.35081017123304,Continuing
4,56,175.8319549576918,296.35081017123304,Continuing
5,37,152.72295816440803,296.35081017123304,Continuing
6,38,182.9546167355371,296.35081017123304,Continuing
7,62,277.3861208337041,296.35081017123304,Continuing
8,44,159.30709474405634,296.35081017123304,Continuing
9,0,81.74085575257114,296.35081017123304,Continuing
10,63,228.4671903908735,296.35081017123304,Continuing
11,1,71.68894182884907,296.35081017123304,Continuing
12,2,66.30151481091211,296.35081017123304,Continuing
13,3,79.49162278991126,296.35081017123304,Continuing
14,50,174.66437205644556,296.35081017123304,Continuing
15,51,181.925661105008,296.35081017123304,Continuing
16,4,109.60733027971378,296.35081017123304,Continuing
17,5,95.3466236160471,296.35081017123304,Continuing
18,6,204.17680289774339,296.35081017123304,Continuing
19,7,117.40631603510326,296.35081017123304,Continuing
20,8,242.7128680778461,296.35081017123304,Continuing
21,19,56.88500845389184,296.35081017123304,Continuing
22,9,233.72437240576676,296.35081017123304,Continuing
23,20,45.87195384392433,296.35081017123304,Continuing
24,10,95.58773206251,296.35081017123304,Continuing
25,47,188.55697291016554,296.35081017123304,Continuing
26,48,171.00469374345903,296.35081017123304,Continuing
27,11,24.71538796928362,296.35081017123304,Continuing
28,16,28.085883195904362,296.35081017123304,Continuing
29,53,228.31076155204596,296.35081017123304,Continuing
30,40,162.77817832797786,296.35081017123304,Continuing
31,57,296.35081017123304,296.35081017123304,Max modulus reached
