Pore Diameter (nm),10 MEAN,10 error,12 MEAN,12 error,15 MEAN,15 error
0.5,9.37e-05,1.95e-05,0.000147,2.28e-05,0.000209,4.11e-05
1.5,0.000222353,3.86e-05,0.000341,4.6e-05,0.000477,8.8e-05
2.5,0.000502279,6.99e-05,0.000752095,8.51e-05,0.00102,0.000164469
3.5,0.00096508,0.000103071,0.001407096,0.000132275,0.00184525,0.000227
4.5,0.001652404,0.000131538,0.002336854,0.000190758,0.00298612,0.000233223
5.5,0.002598802,0.000151572,0.003531006,0.00026796,0.00449205,0.000183123
6.5,0.00375788,0.000149837,0.004839743,0.000356263,0.006217138,9.66e-05
7.5,0.004946135,0.000114493,0.005970556,0.000432281,0.007713751,2e-05
8.5,0.005923708,0.00013719,0.00668468,0.00046389,0.008507893,0.000132357
9.5,0.006560993,0.00027099,0.006974311,0.000420216,0.008472299,0.000219007
10.5,0.006912115,0.000369229,0.00698813,0.000299825,0.00784124,0.000244956
11.5,0.007129373,0.000382653,0.006850829,0.000169065,0.006956901,0.00019764
12.5,0.007270217,0.000362833,0.006595363,0.000163401,0.006087979,0.000122262
13.5,0.007216942,0.000354104,0.006203716,0.000225214,0.005351921,7.9e-05
14.5,0.006916589,0.000316721,0.005653787,0.000240764,0.004675264,8.59e-05
15.5,0.006562283,0.000199334,0.004977498,0.000166907,0.003903437,0.00011789
16.5,0.006307103,5.54e-05,0.004293593,4.15e-05,0.003022886,0.000198065
17.5,0.006015299,0.000124622,0.003712539,0.000119861,0.002183659,0.000257714
18.5,0.005518456,0.000217365,0.00322636,0.000213,0.001509624,0.000240449
19.5,0.004852744,0.000248801,0.002738342,0.00023553,0.001020421,0.000171354
20.5,0.00412,0.000205945,0.002192832,0.000194124,0.000685,0.000113
21.5,0.00335,0.000114,0.001654076,0.000132742,0.000455,8.47e-05
22.5,0.00262,8.77e-05,0.00122,8.61e-05,0.00029489,6.36e-05
23.5,0.00199,0.000161,0.000898,5.72e-05,0.000198,5.22e-05
24.5,0.00147,0.000184,0.000633,4.51e-05,0.000157,5.89e-05
25.5,0.00106,0.000156,0.000422,5.61e-05,0.000141864,7.43e-05
26.5,0.000756,0.000112,0.000284,8.03e-05,0.000119895,7.85e-05
27.5,0.00054,5.06e-05,0.000199,9.3e-05,7.99e-05,5.9e-05
28.5,0.000383,2.3e-05,0.000131,8.03e-05,3.79e-05,2.96e-05
29.5,0.000285,7.71e-05,7.1e-05,5.02e-05,1.2e-05,9.65e-06
30.5,0.000234,9.62e-05,2.87e-05,2.19e-05,2.51e-06,2.03e-06
31.5,0.000196,8.72e-05,8.19e-06,6.48e-06,3.36e-07,2.74e-07
32.5,0.000152,7.2e-05,1.58e-06,1.28e-06,2.91e-08,2.38e-08
33.5,0.000109,6.05e-05,2.02e-07,1.65e-07,0.0,0.0
34.5,6.6e-05,4.42e-05,1.61e-08,1.32e-08,0.0,0.0
35.5,3.02e-05,2.26e-05,0.0,0.0,0.0,0.0
36.5,9.5e-06,7.47e-06,0.0,0.0,0.0,0.0
37.5,1.97e-06,1.58e-06,0.0,0.0,0.0,0.0
38.5,2.64e-07,2.15e-07,0.0,0.0,0.0,0.0
39.5,2.29e-08,1.87e-08,0.0,0.0,0.0,0.0
