Index,Auto,Heating,Concentration,Batch,Sample,Date,Coefficient of Variation,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Formatted_Parameters,Report
1,TRUE,FALSE,10,3,1,2024-02-12,0.036915162627643536,25,TRUE,4,0,64,0,0,Index: 1; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 64; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 1
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 10.0% concentration
- **Solvent**: PolarClean

## Procedure
1. The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating.
2. The mixed solution was allowed to rest in a sample vial for 4 days before processing.
3. The solution was automatically drop-cast onto the substrate and then blade-cast.
4. The cast film was immediately immersed in the NIPS bath (0.0 min wait time).
5. The entire process was conducted at 64% relative humidity.
6. No nitrogen flow was applied either during the drop-casting or after blade-casting phases.

This experiment represents a baseline automated membrane synthesis without thermal assistance or humidity control measures."
2,TRUE,FALSE,11.63,3,1,2024-02-12,0.010548770121783001,25,TRUE,4,0,64,0,0,Index: 2; Auto: True; Heating: False; Concentration: 11.63; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 64; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID:** Index 2
- **Synthesis Method:** Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer:** Polysulfone at 11.63% concentration
- **Solvent:** PolarClean

## Procedure
The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating. After preparation, the solution was allowed to rest in a sample vial for 4 days before processing. The solution was then automatically drop-cast onto the substrate and blade-cast using the robotic system. The cast film was immediately immersed into the NIPS bath (0.0 minutes wait time) without any nitrogen treatment. The experiment was conducted at 64% relative humidity.

## Notes
- The solution mixing was performed by the automated system rather than being premixed manually
- No nitrogen flow was applied either during the side-drop process or after blade casting
- The immediate immersion into the coagulation bath without wait time would likely influence the membrane morphology and performance"
3,TRUE,FALSE,14.43,3,1,2024-02-12,0.011184109,25,TRUE,4,0,64,0,0,Index: 3; Auto: True; Heating: False; Concentration: 14.43; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 64; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID:** 3
- **Synthesis Method:** Automated NIPS (Non-solvent-Induced Phase Separation)

## Materials
- **Polymer:** Polysulfone (14.43% concentration)
- **Solvent:** PolarClean

## Procedure
1. The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating.
2. The mixed solution was allowed to rest in a sample vial for 4 days before processing.
3. The solution was automatically drop-cast onto the substrate and then blade-cast.
4. The cast film was immediately immersed in the NIPS bath (0.0 min wait time).
5. No nitrogen flow was applied either from the side after drop-casting or after blade-casting.

## Environmental Conditions
- **Relative Humidity:** 64%
- **Temperature:** 25??C (ambient)

This experiment was part of a systematic investigation of membrane formation parameters using an automated robotic synthesis platform."
4,TRUE,FALSE,17,3,1,2024-02-12,0.013383717,25,FALSE,4,0,64,0,0,Index: 4; Auto: True; Heating: False; Concentration: 17.0; Heating Block Temperature: 25; Mixed: False; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 64; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID**: Index 4
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 17.0% concentration
- **Solvent**: PolarClean

## Procedure
A premixed polysulfone solution (17.0% concentration in PolarClean) was used after a 4-day rest period in a sample vial. The solution was processed at ambient temperature (25??C) without heating during the mixing phase. The robotic system performed automated blade casting of the polymer solution onto the substrate coupon. Immediately following blade casting (0.0 min wait time), the sample was immersed in the NIPS bath. The experiment was conducted at 64% relative humidity without nitrogen flow protection either during drop casting or after blade casting.

## Conditions
- Automated process: Yes
- Ambient conditions: 25??C, 64% RH
- No nitrogen protection employed
- No heating during solution preparation
- Immediate immersion in coagulation bath after casting

This experiment represents standard automated NIPS membrane fabrication without environmental controls or extended evaporation time."
5,TRUE,FALSE,10,4,1,2024-02-23,0.15627251592130045,25,TRUE,1,0,61,0,0,Index: 5; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 61; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID:** 5
- **Synthesis Method:** Automated NIPS (Non-solvent-Induced Phase Separation)

## Materials and Preparation
- Polymer: Polysulfone (10.0% concentration)
- Solvent: PolarClean
- Solution preparation: Automatically mixed by robotic system at room temperature (25??C, no heating)
- Solution aging: Rested for 1 day in sample vial after mixing

## Casting Procedure
- Casting method: Automated blade casting
- Environmental conditions: 61% relative humidity
- Coupon-to-bath wait time: 0 minutes (immediate immersion)
- Nitrogen treatment: None applied (neither during drop casting nor after blade casting)

## Notes
The membrane was synthesized using fully automated procedures with no manual intervention during the mixing or casting steps. The polymer solution was transferred to the NIPS bath immediately after blade casting without any atmospheric exposure time."
6,TRUE,FALSE,11.63,4,1,2024-02-23,0.12949808372460264,25,TRUE,1,0,61,0,0,Index: 6; Auto: True; Heating: False; Concentration: 11.63; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 61; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID**: Index 6
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 11.63% concentration
- **Solvent**: PolarClean

## Procedure
The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating. After preparation, the solution was rested in a sample vial for 1 day before processing. The solution was then automatically drop-cast onto the substrate and blade-cast using the robotic system. The cast film was immediately immersed into the NIPS bath (0.0 minutes wait time) without any nitrogen treatment either during drop-casting or after blade-casting. The experiment was conducted at 61% relative humidity.

## Notes
This experiment represents a fully automated membrane synthesis process with standard conditions (no heating, no nitrogen treatment) and moderate polymer concentration, allowing for evaluation of the base automated NIPS process."
7,TRUE,FALSE,14.43,4,1,2024-02-26,0.023123354460344237,25,TRUE,4,0,59,0,0,Index: 7; Auto: True; Heating: False; Concentration: 14.43; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 59; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID**: Index 7
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 14.43% concentration
- **Solvent**: PolarClean

## Procedure
1. The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating.
2. The mixed solution was allowed to rest in a sample vial for 4 days before processing.
3. The solution was automatically drop-cast onto the substrate and then blade-cast.
4. The cast film was immediately immersed in the NIPS bath (0.0 minutes wait time).
5. The entire process was conducted at 59% relative humidity.
6. No nitrogen flow was applied either during the side-drop process or after blade casting.

This experiment was part of a systematic investigation of membrane synthesis parameters using an automated robotic platform to ensure reproducibility and precision in the NIPS process."
8,TRUE,FALSE,17,4,1,2024-02-26,0.010787465803181052,25,FALSE,4,0,59,0,0,Index: 8; Auto: True; Heating: False; Concentration: 17.0; Heating Block Temperature: 25; Mixed: False; Rest Time (days): 4; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 59; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID**: Index 8
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 17.0% concentration
- **Solvent**: PolarClean

## Procedure
A premixed polysulfone solution (17.0% concentration in PolarClean) was used after a 4-day rest period in a sample vial. The solution was processed at ambient temperature (25??C) without heating during the mixing phase. The robotic system performed automated blade casting of the polymer solution onto the substrate coupon, which was immediately immersed in the NIPS bath (0.0 min wait time). The experiment was conducted at 59% relative humidity without nitrogen flow protection either during drop casting or after blade casting.

## Conditions
- Automated process: Yes
- Ambient conditions: 25??C, 59% RH
- No nitrogen protection employed
- No additional wait time between casting and bath immersion

This experiment represents standard automated membrane synthesis conditions without thermal or atmospheric modifications."
9,TRUE,FALSE,10,5,1,2024-02-23,0.21724681478161845,25,TRUE,0,0,61,0,0,Index: 9; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 0; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 61; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 9
- **Synthesis Method**: Automated robotic system
- **Polymer Solution**: 10.0% polysulfone in PolarClean solvent
- **Solution Preparation**: Automatically mixed by robot at room temperature (25??C, no heating)
- **Processing Conditions**:
  - No solution rest time (used immediately after mixing)
  - No wait time between blade casting and NIPS bath immersion
  - Ambient relative humidity: 61%
  - No nitrogen flow applied during any stage of the process

## Methodology
The membrane was synthesized using non-solvent-induced phase separation (NIPS) technique. The polysulfone solution was automatically prepared by the robotic system without heating and immediately blade-cast onto the substrate. The cast film was directly immersed into the NIPS bath without any waiting period or nitrogen treatment, allowing the phase separation to occur under ambient humidity conditions (61% RH)."
10,TRUE,FALSE,17,5,1,2024-02-23,0.017297481897983403,25,FALSE,0,0,61,0,0,Index: 10; Auto: True; Heating: False; Concentration: 17.0; Heating Block Temperature: 25; Mixed: False; Rest Time (days): 0; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 61; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters (Index: 10)

A polysulfone membrane was synthesized using non-solvent-induced phase separation (NIPS) under the following conditions:

- **Synthesis Method**: Fully automated robotic system
- **Polymer Solution**: 17.0% polysulfone in PolarClean solvent
- **Solution Preparation**: Premixed manually without heating (ambient temperature 25??C)
- **Processing Conditions**:
  - No solution rest time (used immediately after preparation)
  - Immediate immersion in NIPS bath after blade casting (0 min wait time)
  - Ambient relative humidity: 61%
  - No nitrogen flow applied during any stage of the process

The experiment was conducted to evaluate membrane formation under standard automated conditions without additional processing variables such as heating, extended rest times, or humidity control measures."
