Name,Auto,Heating,Concentration,Batch,Sample,Trial,Thickness,Elastic Modulus,Yield Strength,Creep Strain,Plateau Slope,Densification Slope,Changepoint,Fit,Average Standard Deviation
Auto_noheating_10wt_3_1_1,True,False,10.0,3,1,1,109.0,76.72873296258506,8.035941187848668,,40.371877456124224,990.4558132505468,0.728570845296649,True,53.797772229227874
Auto_noheating_10wt_3_1_2,True,False,10.0,3,1,2,113.0,86.01074950190831,8.854239159377531,,48.604419550527,931.3967208284574,0.7030669304971896,True,53.797772229227874
Auto_noheating_10wt_3_1_3,True,False,10.0,3,1,3,107.0,84.67239991066648,8.199866652184697,,48.351602940604906,977.255772383188,0.6832427215905139,True,53.797772229227874
Auto_noheating_10wt_3_1_4,True,False,10.0,3,1,4,106.0,134.93904587488015,88.74271742690648,,795.6325831189018,-69.85002883541532,0.7881294222224279,False,53.797772229227874
Auto_noheating_12wt_3_1_1,True,False,11.63,3,1,1,107.0,88.26847726460011,8.67003279708993,,43.70813334621138,892.5346166242596,0.6642713253956326,True,52.82972029577995
Auto_noheating_12wt_3_1_2,True,False,11.63,3,1,2,110.0,99.22705363314195,10.40513621056719,,47.190256642205526,925.4541924975864,0.6721542437169256,True,52.82972029577995
Auto_noheating_12wt_3_1_3,True,False,11.63,3,1,3,112.0,102.49529617439975,10.469522849919795,,50.65500608346681,950.2385497977504,0.6864166394637732,True,52.82972029577995
Auto_noheating_12wt_3_1_4,True,False,11.63,3,1,4,112.0,102.24073783212091,10.442484729550252,,44.56584651096612,974.2472228545583,0.6803651068601827,True,52.82972029577995
Auto_Heating_12_24_1_1,True,True,12.0,24,1,1,117.3988,57.03278909757542,6.1367618943791715,0.0225010817827781,33.63717422132637,1096.9866623247049,0.6794130098785626,True,61.069959741384665
Auto_Heating_12_24_1_2,True,True,12.0,24,1,2,113.79199999999999,58.55733124175076,6.205473229611725,0.014508928571428603,34.133303871142736,1080.2776492885955,0.6680921925856455,True,61.069959741384665
Auto_Heating_12_24_1_3,True,True,12.0,24,1,3,109.6264,57.80028866351864,6.173281611274912,0.019925857275254866,35.89326066022427,1074.4766214302422,0.6568823628702766,True,61.069959741384665
Auto_Heating_12_24_1_4,True,True,12.0,24,1,4,121.76759999999999,47.01819191594064,6.153283813727544,0.019816437213183158,50.26571859167373,1192.4009654644376,0.65485099847869,True,61.069959741384665
Auto_noheating_10wt_3_1_1,True,False,10.0,3,1,1,109.0,76.72873296258506,8.035941187848668,,40.371877456124224,990.4558132505468,0.728570845296649,True,53.797772229227874
Auto_noheating_10wt_3_1_2,True,False,10.0,3,1,2,113.0,86.01074950190831,8.854239159377531,,48.65341970788847,931.3967208284574,0.703093736401807,True,53.797772229227874
Auto_noheating_10wt_3_1_3,True,False,10.0,3,1,3,107.0,84.67239991066648,8.199866652184697,,47.524974473326395,902.150308677272,0.673955165345153,True,53.797772229227874
Auto_noheating_10wt_3_1_4,True,False,10.0,3,1,4,106.0,134.93904587488015,88.74271742690648,,795.6325831189018,-69.85002883541532,0.7881294222224279,False,53.797772229227874
Auto_noheating_12wt_3_1_1,True,False,11.63,3,1,1,107.0,88.26847726460011,8.67003279708993,,43.70813334621138,892.5346166242596,0.6642713253956326,True,52.82972029577995
Auto_noheating_12wt_3_1_2,True,False,11.63,3,1,2,110.0,99.22705363314195,10.40513621056719,,47.190256642205526,925.4541924975864,0.6721542437169256,True,52.82972029577995
Auto_noheating_12wt_3_1_3,True,False,11.63,3,1,3,112.0,102.49529617439975,10.469522849919795,,50.65500608346681,950.2385497977504,0.6864166394637732,True,52.82972029577995
Auto_noheating_12wt_3_1_4,True,False,11.63,3,1,4,112.0,102.24073783212091,10.442484729550252,,44.56584651096612,974.2472228545583,0.6803651068601827,True,52.82972029577995
Auto_Heating_12_24_1_1,True,True,12.0,24,1,1,117.3988,57.03278909757542,6.1367618943791715,0.0225010817827781,33.63717422132637,1096.9866623247049,0.6794130098785626,True,61.069959741384665
Auto_Heating_12_24_1_2,True,True,12.0,24,1,2,113.79199999999999,58.55733124175076,6.205473229611725,0.014508928571428603,34.133303871142736,1080.2776492885955,0.6680921925856455,True,61.069959741384665
Auto_Heating_12_24_1_3,True,True,12.0,24,1,3,109.6264,57.80028866351864,6.173281611274912,0.019925857275254866,35.89326066022427,1074.4766214302422,0.6568823628702766,True,61.069959741384665
Auto_Heating_12_24_1_4,True,True,12.0,24,1,4,121.76759999999999,47.01819191594064,6.153283813727544,0.019816437213183158,50.26571859167373,1192.4009654644376,0.65485099847869,True,61.069959741384665
