Iteration,Experiment Index,Observed Elastic Modulus,Max Modulus in Dataset,Stopping Reason
0,26,42.736240369816734,296.35081017123304,Initial selection
1,33,72.06868568538891,296.35081017123304,Continuing
2,23,53.46447392343188,296.35081017123304,Continuing
3,16,28.085883195904362,296.35081017123304,Continuing
4,0,81.74085575257114,296.35081017123304,Continuing
5,1,71.68894182884907,296.35081017123304,Continuing
6,2,66.30151481091211,296.35081017123304,Continuing
7,8,242.7128680778461,296.35081017123304,Continuing
8,9,233.72437240576676,296.35081017123304,Continuing
9,3,79.49162278991126,296.35081017123304,Continuing
10,4,109.60733027971378,296.35081017123304,Continuing
11,25,39.13465426900338,296.35081017123304,Continuing
12,5,95.3466236160471,296.35081017123304,Continuing
13,11,24.71538796928362,296.35081017123304,Continuing
14,34,88.47667256854467,296.35081017123304,Continuing
15,6,204.17680289774339,296.35081017123304,Continuing
16,7,117.40631603510326,296.35081017123304,Continuing
17,10,95.58773206251,296.35081017123304,Continuing
18,13,35.102261317001975,296.35081017123304,Continuing
19,12,51.16844398555743,296.35081017123304,Continuing
20,39,140.76871335709305,296.35081017123304,Continuing
21,14,39.58562154046682,296.35081017123304,Continuing
22,15,48.22854697312115,296.35081017123304,Continuing
23,17,106.8193434000782,296.35081017123304,Continuing
24,40,162.77817832797786,296.35081017123304,Continuing
25,24,98.05789122606569,296.35081017123304,Continuing
26,18,74.82276309333224,296.35081017123304,Continuing
27,19,56.88500845389184,296.35081017123304,Continuing
28,20,45.87195384392433,296.35081017123304,Continuing
29,27,141.45379911190125,296.35081017123304,Continuing
30,21,50.104313602035774,296.35081017123304,Continuing
31,22,73.67122147772203,296.35081017123304,Continuing
32,41,220.5104016857166,296.35081017123304,Continuing
33,28,147.00005295683096,296.35081017123304,Continuing
34,29,51.50598562924656,296.35081017123304,Continuing
35,30,42.124759091300646,296.35081017123304,Continuing
36,31,119.79704241922373,296.35081017123304,Continuing
37,32,106.70108583654164,296.35081017123304,Continuing
38,35,207.09310351510177,296.35081017123304,Continuing
39,36,120.16287053478321,296.35081017123304,Continuing
40,37,152.72295816440803,296.35081017123304,Continuing
41,38,182.9546167355371,296.35081017123304,Continuing
42,49,242.91509227554656,296.35081017123304,Continuing
43,45,224.5706110108938,296.35081017123304,Continuing
44,46,242.41091008794928,296.35081017123304,Continuing
45,52,231.07458974395303,296.35081017123304,Continuing
46,42,179.2410423946837,296.35081017123304,Continuing
47,43,178.97379271834268,296.35081017123304,Continuing
48,44,159.30709474405634,296.35081017123304,Continuing
49,47,188.55697291016554,296.35081017123304,Continuing
50,48,171.00469374345903,296.35081017123304,Continuing
51,50,174.66437205644556,296.35081017123304,Continuing
52,51,181.925661105008,296.35081017123304,Continuing
53,62,277.3861208337041,296.35081017123304,Continuing
54,63,228.4671903908735,296.35081017123304,Continuing
55,53,228.31076155204596,296.35081017123304,Continuing
56,64,95.81586876001887,296.35081017123304,Continuing
57,65,90.99870959544364,296.35081017123304,Continuing
58,54,197.84044623035882,296.35081017123304,Continuing
59,55,168.33383829683325,296.35081017123304,Continuing
60,56,175.8319549576918,296.35081017123304,Continuing
61,61,201.80400290446062,296.35081017123304,Continuing
62,57,296.35081017123304,296.35081017123304,Max modulus reached
