Auto,Heating,Concentration,Batch,Sample,Mixing Height and Lift Adjusted,Heated Container,Heated Block,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Cast Position Adjusted,Lifting Delay,Date,Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Coefficient of Variation
True,False,10.0,3,1,1,0,0,25,True,4,0.0,1,0,2024-02-12,64,0,0,0.036915162627643536
True,False,11.63,3,1,1,0,0,25,True,4,0.0,1,0,2024-02-12,64,0,0,0.010548770121783001
True,False,14.43,3,1,1,0,0,25,True,4,0.0,1,0,2024-02-12,64,0,0,0.01118410945758524
True,False,17.0,3,1,1,0,0,25,False,4,0.0,1,0,2024-02-12,64,0,0,0.01338371684237426
True,False,10.0,4,1,1,0,0,25,True,1,0.0,1,0,2024-02-23,61,0,0,0.15627251592130045
True,False,11.63,4,1,1,0,0,25,True,1,0.0,1,0,2024-02-23,61,0,0,0.12949808372460264
True,False,14.43,4,1,1,0,0,25,True,4,0.0,1,0,2024-02-26,59,0,0,0.023123354460344237
True,False,17.0,4,1,1,0,0,25,False,4,0.0,1,0,2024-02-26,59,0,0,0.010787465803181052
True,False,10.0,5,1,1,0,0,25,True,0,0.0,1,0,2024-02-23,61,0,0,0.21724681478161845
True,False,17.0,5,1,1,0,0,25,False,0,0.0,1,0,2024-02-23,61,0,0,0.017297481897983403
True,False,10.0,6,1,1,0,0,25,True,1,0.0,1,0,2024-02-28,77,0,0,0.19107853287322593
True,False,10.0,6,2,1,0,0,25,True,2,0.0,1,0,2024-02-29,56,0,0,0.27062480716146176
True,False,10.0,6,3,1,0,0,25,True,3,0.0,1,0,2024-03-01,55,0,0,0.2623957178880957
True,True,11.63,7,1,1,0,1,50,True,0,0.0,1,0,2024-03-20,69,0,0,0.11240058381420505
True,True,11.63,7,2,1,0,1,50,True,0,0.0,1,0,2024-03-20,69,0,0,0.23619462350621306
True,True,11.63,8,1,1,0,1,50,True,1,0.0,1,0,2024-03-28,53,0,0,0.1941353524854972
True,True,17.0,8,1,1,0,1,50,False,1,0.0,1,0,2024-03-28,53,0,0,0.008656541682851173
True,True,13.0,9,1,1,0,1,50,True,1,0.0,1,0,2024-04-04,96,0,0,0.12073477332881302
True,True,17.0,10,1,1,0,1,50,False,1,0.0,1,0,2024-04-24,96,0,0,0.14477445501649996
True,False,10.0,11,1,1,0,0,25,True,1,0.0,1,1,2024-05-29,58,0,0,0.031080533635303442
True,False,12.0,11,1,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.03066901564908118
True,False,14.0,11,1,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.010127100525761597
True,False,16.0,11,1,1,0,0,25,True,1,0.0,1,1,2024-05-30,49,0,0,0.011760340051076366
True,False,10.0,13,1,1,0,0,25,True,1,0.0,1,1,2024-07-24,80,1,0,0.16457833235930142
True,False,12.0,13,1,1,0,0,25,True,1,0.0,1,1,2024-07-24,80,1,0,0.05475027283063893
True,False,15.0,13,1,1,0,0,25,True,1,0.0,1,1,2024-07-24,80,1,0,0.22053023661107232
True,False,10.0,14,1,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.20973045848339736
True,False,12.0,14,1,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.17957332492936234
