Iteration,Experiment Index,Observed Elastic Modulus,Max Modulus in Dataset,Stopping Reason
0,48,171.00469374345903,296.35081017123304,Initial selection
1,47,188.55697291016554,296.35081017123304,Continuing
2,50,174.66437205644556,296.35081017123304,Continuing
3,51,181.925661105008,296.35081017123304,Continuing
4,71,270.69323356331364,296.35081017123304,Continuing
5,72,189.44122006132594,296.35081017123304,Continuing
6,64,95.81586876001887,296.35081017123304,Continuing
7,65,90.99870959544364,296.35081017123304,Continuing
8,0,81.74085575257114,296.35081017123304,Continuing
9,70,172.0732296612731,296.35081017123304,Continuing
10,42,179.2410423946837,296.35081017123304,Continuing
11,53,228.31076155204596,296.35081017123304,Continuing
12,57,296.35081017123304,296.35081017123304,Max modulus reached
