Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,14,39.58562154046682,,,,39.5**2 * RBF(length_scale=0.00133) + WhiteKernel(noise_level=7.99),296.35081017123304,Initial selection
1,0,81.74085575257114,31.66849696083189,0.0,39.585621201039864,64.1**2 * RBF(length_scale=6.5) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
2,8,242.7128680778461,95.26479401025783,76.48374155769122,23.476315565708262,145**2 * RBF(length_scale=2.19) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
3,9,233.72437240576676,246.15703275090772,242.57992258079898,4.47138771263591,143**2 * RBF(length_scale=2.23) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
4,47,188.55697291016554,206.91452169077007,104.57259622981746,127.92740682619075,151**2 * RBF(length_scale=3.68) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
5,7,117.40631603510326,217.8423413132381,142.92177193597175,93.65071172158295,140**2 * RBF(length_scale=3.81) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
6,71,270.69323356331364,209.47053871800983,119.70978723619737,112.20093935226556,191**2 * RBF(length_scale=5.85) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
7,72,189.44122006132594,272.2054467298931,193.0487581366457,98.9458607415592,196**2 * RBF(length_scale=6.67) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
8,53,228.31076155204596,262.57803938562046,163.42410296933122,123.94242052036155,207**2 * RBF(length_scale=7.56) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,58,211.50865412415317,246.066606403471,152.48017325510992,116.98304143545137,208**2 * RBF(length_scale=7.99) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,68,65.48719407925006,243.5950692787557,207.94374436223012,44.56415614565696,176**2 * RBF(length_scale=4.87) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,42,179.2410423946837,270.1947091808305,193.45579072411743,95.92364807089136,168**2 * RBF(length_scale=4.86) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
12,57,296.35081017123304,266.61136797593184,205.36184592286554,76.56190256633286,167**2 * RBF(length_scale=4.73) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
