Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,26,42.736240369816734,,,,42.7**2 * RBF(length_scale=21) + WhiteKernel(noise_level=0.000118),296.35081017123304,Initial selection
1,53,228.31076155204596,79.55209695264097,40.72988554147941,12.940737137053848,164**2 * RBF(length_scale=4.56) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
2,58,211.50865412415317,518.5669392307495,108.63497836714986,136.64398695453323,174**2 * RBF(length_scale=7.53) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
3,72,189.44122006132594,426.5902520739123,65.21372337412564,120.45884289992891,192**2 * RBF(length_scale=8.86) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
4,71,270.69323356331364,386.721062121581,193.97155168781643,64.24983681125485,199**2 * RBF(length_scale=8.83) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
5,8,242.7128680778461,413.1181031401108,179.76592375257707,77.78405979584458,212**2 * RBF(length_scale=10) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
6,54,197.84044623035882,353.95935799264305,196.59322111157928,52.455378960354594,224**2 * RBF(length_scale=11.8) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
7,42,179.2410423946837,319.1017184821249,130.2744877485302,62.94241024453157,220**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=5.83e-05),296.35081017123304,Continuing
8,0,81.74085575257114,298.5978597160666,184.74380345623297,37.9513520866112,194**2 * RBF(length_scale=7.75) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,57,296.35081017123304,354.72237822345824,212.06019914291426,47.55405969351466,174**2 * RBF(length_scale=6.15) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
