Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,48,171.00469374345903,,,,171**2 * RBF(length_scale=0.005) + WhiteKernel(noise_level=8.44),296.35081017123304,Initial selection
1,0,81.74085575257114,684.0187708849959,0.0,171.00469272124897,134**2 * RBF(length_scale=5.34) + WhiteKernel(noise_level=0.00826),296.35081017123304,Continuing
2,69,110.69482106635698,549.1249450824232,80.34666063289993,117.19457111238081,119**2 * RBF(length_scale=6.47) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
3,60,272.2240045816517,469.8288661265874,115.73472920348559,88.52353423077545,179**2 * RBF(length_scale=9.68) + WhiteKernel(noise_level=0.000691),296.35081017123304,Continuing
4,53,228.31076155204596,502.03972759479933,198.375016473924,75.91617778021883,184**2 * RBF(length_scale=11.6) + WhiteKernel(noise_level=1.92e-05),296.35081017123304,Continuing
5,41,220.5104016857166,397.21751221186514,168.2201129950253,57.24934980420997,187**2 * RBF(length_scale=12.1) + WhiteKernel(noise_level=0.00159),296.35081017123304,Continuing
6,43,178.97379271834268,390.13361395865076,180.55570524602615,52.39447717815615,185**2 * RBF(length_scale=13.1) + WhiteKernel(noise_level=0.000172),296.35081017123304,Continuing
7,61,201.80400290446062,348.4546099442743,219.20156577098976,32.313261043321134,193**2 * RBF(length_scale=14.6) + WhiteKernel(noise_level=1e-06),296.35081017123304,Continuing
8,54,197.84044623035882,308.7991981394261,234.96938172692433,18.45745410312544,152**2 * RBF(length_scale=10.2) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,10,95.58773206251,307.9479597565845,165.26150625892652,35.6716133744145,145**2 * RBF(length_scale=8.54) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,52,231.07458974395303,307.6577572645657,223.64678502093966,21.002743060906514,143**2 * RBF(length_scale=8.82) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,58,211.50865412415317,296.7781544165606,266.5601688844615,7.554496383024768,154**2 * RBF(length_scale=4.33) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
12,71,270.69323356331364,506.3581763273955,130.40331517488193,93.98871528812839,165**2 * RBF(length_scale=4.44) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
13,70,172.0732296612731,495.5446978514169,218.39535012143364,69.28733693249582,163**2 * RBF(length_scale=4.48) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
14,68,65.48719407925006,474.96754731926916,215.4428495318523,64.88117444685422,167**2 * RBF(length_scale=4) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
15,6,204.17680289774339,468.19310300233815,120.19396418780093,86.9997847036343,170**2 * RBF(length_scale=4.09) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
16,21,50.104313602035774,456.69278120187056,113.64921491040998,85.76089157286515,174**2 * RBF(length_scale=4.27) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
17,8,242.7128680778461,420.6811645979681,197.4151688760048,55.81649893049083,185**2 * RBF(length_scale=4.61) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
18,72,189.44122006132594,405.5503082957085,192.02850107801925,53.38045180442231,184**2 * RBF(length_scale=4.72) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
19,57,296.35081017123304,381.0531044449406,191.70693648070088,47.33654199105992,175**2 * RBF(length_scale=4.15) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
