Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Kernel Parameters,Max Modulus in Dataset,Stopping Reason
0,53,228.31076155204596,,,,228**2 * RBF(length_scale=144) + WhiteKernel(noise_level=9.85),296.35081017123304,Initial selection
1,69,110.69482106635698,296.98197158260274,227.8922292336641,13.817948469787726,179**2 * RBF(length_scale=11.9) + WhiteKernel(noise_level=9.94),296.35081017123304,Continuing
2,60,272.2240045816517,571.5981584222748,189.7652679245576,76.36657809954343,203**2 * RBF(length_scale=14.2) + WhiteKernel(noise_level=0.0005),296.35081017123304,Continuing
3,2,66.30151481091211,563.5615643904981,190.36779277372761,74.6387543233541,185**2 * RBF(length_scale=9.73) + WhiteKernel(noise_level=0.00138),296.35081017123304,Continuing
4,42,179.2410423946837,521.7200941565941,135.35957275709785,77.27210427989925,186**2 * RBF(length_scale=10.8) + WhiteKernel(noise_level=0.00151),296.35081017123304,Continuing
5,54,197.84044623035882,474.55616302696137,217.35850314638506,51.43953197611526,187**2 * RBF(length_scale=12.1) + WhiteKernel(noise_level=0.00168),296.35081017123304,Continuing
6,41,220.5104016857166,388.044629365849,145.10182300495066,48.58856127217966,170**2 * RBF(length_scale=9.7) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
7,10,95.58773206251,395.24698507003444,159.6186531151052,47.12566639098585,159**2 * RBF(length_scale=8.4) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
8,61,201.80400290446062,418.8001984140103,224.38360712058534,38.883318258685,163**2 * RBF(length_scale=9.13) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
9,71,270.69323356331364,347.1659006074574,123.46609853578661,44.739960414334156,143**2 * RBF(length_scale=5.93) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
10,8,242.7128680778461,463.08600593061664,166.9797857338752,59.221244039348285,145**2 * RBF(length_scale=5.82) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
11,68,65.48719407925006,427.25676449284305,217.16034167865553,42.019284562837505,159**2 * RBF(length_scale=4.5) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
12,49,242.91509227554656,554.2296249283401,261.89746954208016,58.46643107725198,157**2 * RBF(length_scale=4.63) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
13,70,172.0732296612731,532.7051180186475,229.33619186495451,60.67378523073859,155**2 * RBF(length_scale=4.6) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
14,47,188.55697291016554,484.8644018558862,246.75840440539775,47.62119949009769,166**2 * RBF(length_scale=4.87) + WhiteKernel(noise_level=10),296.35081017123304,Continuing
15,57,296.35081017123304,454.93541265132194,235.22010746112448,43.94306103803949,164**2 * RBF(length_scale=4.69) + WhiteKernel(noise_level=10),296.35081017123304,Max modulus reached
