Iteration,Experiment Index,Observed Elastic Modulus,UCB Score,Mean Prediction,Standard Deviation,Max Modulus in Dataset,Stopping Reason
0,48,171.00469374345903,,,,296.35081017123304,Initial selection
1,44,159.30709474405634,715.3945683388672,49.596809250148574,30.263534504032666,296.35081017123304,Continuing
2,69,110.69482106635698,678.7274109796394,79.5497900422403,27.23534640624542,296.35081017123304,Continuing
3,58,211.50865412415317,594.1870872299245,120.12387792337447,21.548327695752274,296.35081017123304,Continuing
4,53,228.31076155204596,532.0780163063558,179.5113380219498,16.02575810383664,296.35081017123304,Continuing
5,10,95.58773206251,506.49942210866163,131.25016559478846,17.056784386994238,296.35081017123304,Continuing
6,0,81.74085575257114,484.80847860707945,139.94388250188027,15.675663459327238,296.35081017123304,Continuing
7,41,220.5104016857166,483.94255691062153,145.29739547200802,15.39296188357334,296.35081017123304,Continuing
8,54,197.84044623035882,528.348561157039,173.0040884243358,16.152021487850142,296.35081017123304,Continuing
9,71,270.69323356331364,490.4265031303645,141.63086549677143,15.854347165163322,296.35081017123304,Continuing
10,64,95.81586876001887,566.9771687891312,179.9516243958524,17.592070199694486,296.35081017123304,Continuing
11,57,296.35081017123304,567.7923970634872,186.98580249217133,17.309390662332543,296.35081017123304,Max modulus reached
