Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,72,189.441220061326,76.4435,14.232139,296.35081017123304,Continuing
2,71,270.69323356331364,864.8629,67.86801,296.35081017123304,Continuing
3,53,228.310761552046,370.50412,77.70485,296.35081017123304,Continuing
4,8,242.7128680778461,207.55438,27.410122,296.35081017123304,Continuing
5,9,233.7243724057668,236.0101,33.093857,296.35081017123304,Continuing
6,54,197.8404462303588,228.92366,42.83528,296.35081017123304,Continuing
7,58,211.5086541241532,201.41238,51.418125,296.35081017123304,Continuing
8,59,219.61643412334288,203.13718,38.56722,296.35081017123304,Continuing
9,60,272.2240045816517,181.64581,29.67154,296.35081017123304,Continuing
10,57,296.35081017123304,205.68413,24.885487,296.35081017123304,Max Elastic Modulus reached
