Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,69,110.69482106635698,622.4256,128.56946,296.35081017123304,Continuing
2,58,211.5086541241532,198.54301,8.852359,296.35081017123304,Continuing
3,59,219.61643412334288,215.78873,12.083228,296.35081017123304,Continuing
4,8,242.7128680778461,198.03772,26.063904,296.35081017123304,Continuing
5,9,233.7243724057668,230.96834,33.88996,296.35081017123304,Continuing
6,60,272.2240045816517,204.6576,20.977995,296.35081017123304,Continuing
7,61,201.80400290446065,289.91425,26.466434,296.35081017123304,Continuing
8,2,66.30151481091211,215.2734,54.291195,296.35081017123304,Continuing
9,52,231.07458974395303,228.86244,23.205389,296.35081017123304,Continuing
10,45,224.5706110108938,234.13649,23.33628,296.35081017123304,Continuing
11,46,242.41091008794928,229.50948,20.848007,296.35081017123304,Continuing
12,49,242.91509227554656,225.22517,22.376068,296.35081017123304,Continuing
13,56,175.8319549576918,194.05956,19.946642,296.35081017123304,Continuing
14,6,204.17680289774336,187.1839,23.54724,296.35081017123304,Continuing
15,43,178.97379271834268,136.95456,53.571266,296.35081017123304,Continuing
16,7,117.40631603510326,196.89523,21.320438,296.35081017123304,Continuing
17,55,168.33383829683325,181.73456,19.742102,296.35081017123304,Continuing
18,42,179.2410423946837,165.88397,25.648502,296.35081017123304,Continuing
19,41,220.5104016857166,149.69391,30.255367,296.35081017123304,Continuing
20,54,197.8404462303588,162.76445,17.173855,296.35081017123304,Continuing
21,63,228.4671903908735,169.55734,17.187693,296.35081017123304,Continuing
22,62,277.3861208337041,183.2328,17.070234,296.35081017123304,Continuing
23,40,162.77817832797786,175.73691,21.5174,296.35081017123304,Continuing
24,72,189.441220061326,136.53345,38.478085,296.35081017123304,Continuing
25,70,172.0732296612731,185.37605,24.429283,296.35081017123304,Continuing
26,44,159.30709474405634,170.86786,17.098446,296.35081017123304,Continuing
27,57,296.35081017123304,150.92197,16.647839,296.35081017123304,Max Elastic Modulus reached
