Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,39.585606,3.8146973e-06,296.35081017123304,Continuing
2,1,71.68894182884907,77.52487,12.6464205,296.35081017123304,Continuing
3,2,66.30151481091211,75.81189,7.5449114,296.35081017123304,Continuing
4,8,242.7128680778461,76.96939,4.5272517,296.35081017123304,Continuing
5,9,233.7243724057668,170.65044,82.44825,296.35081017123304,Continuing
6,56,175.8319549576918,194.37338,71.45471,296.35081017123304,Continuing
7,53,228.310761552046,213.55449,54.21961,296.35081017123304,Continuing
8,71,270.69323356331364,222.22324,17.761036,296.35081017123304,Continuing
9,70,172.0732296612731,219.7089,36.768955,296.35081017123304,Continuing
10,72,189.441220061326,187.18063,32.802162,296.35081017123304,Continuing
11,57,296.35081017123304,192.7015,19.733177,296.35081017123304,Max Elastic Modulus reached
