Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,42.73622,7.6293945e-06,296.35081017123304,Continuing
2,1,71.68894182884907,76.53979,13.258841,296.35081017123304,Continuing
3,2,66.30151481091211,75.91704,7.1768713,296.35081017123304,Continuing
4,8,242.7128680778461,76.49484,4.5368447,296.35081017123304,Continuing
5,9,233.7243724057668,192.24263,77.103874,296.35081017123304,Continuing
6,53,228.310761552046,222.56406,44.92465,296.35081017123304,Continuing
7,71,270.69323356331364,231.27524,4.614512,296.35081017123304,Continuing
8,70,172.0732296612731,249.52832,23.211843,296.35081017123304,Continuing
9,72,189.441220061326,208.82967,44.069843,296.35081017123304,Continuing
10,57,296.35081017123304,187.85007,18.19862,296.35081017123304,Max Elastic Modulus reached
