Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,0,81.74085575257114,39.585606,3.8146973e-06,296.35081017123304,Continuing
2,1,71.68894182884907,77.52487,12.6464205,296.35081017123304,Continuing
3,2,66.30151481091211,75.81189,7.5449114,296.35081017123304,Continuing
4,8,242.7128680778461,76.96939,4.5272517,296.35081017123304,Continuing
5,9,233.7243724057668,170.65044,82.44825,296.35081017123304,Continuing
6,53,228.310761552046,198.3559,67.06147,296.35081017123304,Continuing
7,71,270.69323356331364,214.6054,51.431255,296.35081017123304,Continuing
8,72,189.441220061326,265.10287,13.1593275,296.35081017123304,Continuing
9,70,172.0732296612731,221.90878,43.626762,296.35081017123304,Continuing
10,44,159.30709474405634,183.37247,31.103687,296.35081017123304,Continuing
11,68,65.48719407925006,173.78355,40.841995,296.35081017123304,Continuing
12,60,272.2240045816517,170.269,21.727564,296.35081017123304,Continuing
13,58,211.5086541241532,215.71663,49.619095,296.35081017123304,Continuing
14,59,219.61643412334288,212.44933,27.760593,296.35081017123304,Continuing
15,43,178.97379271834268,199.07784,38.606438,296.35081017123304,Continuing
16,57,296.35081017123304,210.9687,18.834433,296.35081017123304,Max Elastic Modulus reached
