Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,263,1123.1,1300.4977,9.960743,2510.3,Continuing
2,169,1250.5,562219.1,140685.72,2510.3,Continuing
3,34,1730.2,125707.03,34611.996,2510.3,Continuing
4,205,1730.2,1827.771,39.83187,2510.3,Continuing
5,208,1153.4,1592.9492,405.86774,2510.3,Continuing
6,185,1998.6,1684.7393,28.464846,2510.3,Continuing
7,291,1577.8,2288.8828,56.092937,2510.3,Continuing
8,273,2402.3,2125.0615,35.267868,2510.3,Continuing
9,71,2501.1,2458.171,41.478413,2510.3,Continuing
10,194,1233.3,2480.034,36.661266,2510.3,Continuing
11,6,1605.4,3612.5757,78.44425,2510.3,Continuing
12,225,1088.6,3130.6194,65.12853,2510.3,Continuing
13,106,2381.6,2159.2834,67.27712,2510.3,Continuing
14,191,2411.5,2127.939,67.63921,2510.3,Continuing
15,40,2157.3,2343.2546,52.53138,2510.3,Continuing
16,31,2487.3,2278.4126,55.63122,2510.3,Continuing
17,306,2510.3,2343.8743,47.18284,2510.3,Max Yield Strength reached
