Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480185,-38369.992,0.00390625,-23707,Continuing
2,2,-144074,-156187.31,195377.92,-23707,Continuing
3,11,-284710,-127706.15,74689.85,-23707,Continuing
4,74,-140574,-207415.75,209145.69,-23707,Continuing
5,116,-26197,-126732.99,176725.97,-23707,Continuing
6,118,-107494,-47382.617,80492.22,-23707,Continuing
7,119,-119938,-56004.996,17522.342,-23707,Continuing
8,67,-227835,-72322.7,21040.078,-23707,Continuing
9,98,-147202,-108969.36,35201.54,-23707,Continuing
10,60,-38893,-137731.58,20326.855,-23707,Continuing
11,58,-221696,-88701.63,45712.215,-23707,Continuing
12,86,-91681,-111183.414,49811.715,-23707,Continuing
13,59,-123157,-104991.05,32063.1,-23707,Continuing
14,87,-183180,-149297.39,51782.21,-23707,Continuing
15,44,-299002,-174153.11,74601.016,-23707,Continuing
16,85,-27122,-211915.66,40952.375,-23707,Continuing
17,109,-452558,-258624.95,79974.984,-23707,Continuing
18,61,-449878,-290723.12,52260.86,-23707,Continuing
19,104,-208028,-298352.0,64815.68,-23707,Continuing
20,78,-127394,-260457.89,77108.44,-23707,Continuing
21,100,-175885,-225650.67,85680.26,-23707,Continuing
22,73,-96638,-295466.62,101414.875,-23707,Continuing
23,120,-91655,-228344.69,119727.58,-23707,Continuing
24,121,-107908,-143092.11,107729.17,-23707,Continuing
25,122,-168856,-122878.72,76704.44,-23707,Continuing
26,123,-292981,-133125.27,22213.428,-23707,Continuing
27,12,-602576,-327487.72,82267.586,-23707,Continuing
28,103,-145224,-358986.0,123821.8,-23707,Continuing
29,75,-59256,-228675.14,127557.055,-23707,Continuing
30,124,-55524,-137441.53,134591.06,-23707,Continuing
31,125,-88158,-67811.055,57809.68,-23707,Continuing
32,126,-93928,-67231.48,8041.608,-23707,Continuing
33,127,-184086,-72063.35,7262.56,-23707,Continuing
34,102,-129483,-135892.27,17482.443,-23707,Continuing
35,105,-141683,-136412.06,29601.426,-23707,Continuing
36,84,-24723,-156984.81,77294.125,-23707,Continuing
37,112,-23707,-94118.305,83071.23,-23707,Max -Instability index reached
