Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,45,1716.3,53607.617,14860.532,2510.3,Continuing
2,244,1081.1,42238.355,11163.851,2510.3,Continuing
3,169,1250.5,2181.9924,210.67958,2510.3,Continuing
4,265,1680.6,1948.6077,120.21432,2510.3,Continuing
5,206,2331.1,1812.6542,37.237755,2510.3,Continuing
6,71,2501.1,2391.9832,40.109512,2510.3,Continuing
7,273,2402.3,2401.4993,36.841194,2510.3,Continuing
8,147,1736.3,1989.7407,34.829403,2510.3,Continuing
9,57,1235.9,1560.3037,26.957893,2510.3,Continuing
10,171,1837.9,1497.5724,30.086193,2510.3,Continuing
11,139,1350.4,1470.888,38.230515,2510.3,Continuing
12,181,1801.8,1381.9502,37.030323,2510.3,Continuing
13,263,1123.1,1458.8068,38.89813,2510.3,Continuing
14,296,1681.2,1585.2732,37.444473,2510.3,Continuing
15,191,2411.5,1524.1909,28.603045,2510.3,Continuing
16,264,1288.4,2273.004,35.03857,2510.3,Continuing
17,212,2249.6,2438.8132,81.33387,2510.3,Continuing
18,31,2487.3,1990.4779,57.801537,2510.3,Continuing
19,99,2411.5,2368.2673,55.84772,2510.3,Continuing
20,118,1603.3,2303.1924,77.60741,2510.3,Continuing
21,73,2381.6,2160.038,73.50778,2510.3,Continuing
22,106,2381.6,2319.3293,61.830772,2510.3,Continuing
23,292,2372.4,2349.5833,53.716057,2510.3,Continuing
24,289,1571.2,2309.346,52.748505,2510.3,Continuing
25,306,2510.3,1905.7587,66.11699,2510.3,Max Yield Strength reached
